instance,step,beta,gamma,loss_mean,free_energy_mean,expected_cut_mean,expected_cut_max,hard_cut_mean,hard_cut_max,best_cut_so_far,entropy_mean,driver_energy_mean,R_mean,R_min,R_max,rx_mean,rx_abs_mean,rz_mean,rz_abs_mean,grad_norm_raw_R,grad_norm_theta
G25,0,2.0,1.0,-10708.09765625,-10708.09765625,9995.0,9995.0,9916.171875,10109.0,10109.0,1386.1943359375,-20.000038146972656,0.010099499486386776,0.010054475627839565,0.010143536143004894,0.010099247097969055,0.010099247097969055,-1.6958273363343324e-07,6.969922833377495e-05,0.038937605917453766,3.958727393182926e-05
G25,1,14.510510444641113,0.9989989995956421,-10110.708984375,-10110.708984375,9995.0,9995.0,9933.0390625,10075.0,10109.0,1386.1923828125,-20.178274154663086,0.010199987329542637,0.010154515504837036,0.010244457051157951,0.010199971497058868,0.010199971497058868,-1.2015544115229204e-08,1.4921065485395957e-05,0.03945055231451988,0.000282229419099167
G25,2,27.021020889282227,0.9979979991912842,-10066.66015625,-10066.66015625,9995.0,9995.0,9896.609375,10090.0,10109.0,1386.190185546875,-20.359102249145508,0.010301503352820873,0.010255583561956882,0.010346410796046257,0.010301397182047367,0.010301397182047367,1.1412716816039392e-07,4.573459591483697e-05,0.039812732487916946,7.105302938725799e-05
G25,3,39.531532287597656,0.9969969987869263,-10050.60546875,-10050.60546875,9995.0,9995.0,9909.921875,10107.0,10109.0,1386.188232421875,-20.540924072265625,0.010404073633253574,0.010357700288295746,0.010449424386024475,0.010403928346931934,0.010403928346931934,1.2905231017157348e-07,5.337342736311257e-05,0.04016886278986931,0.00018463200831320137
G25,4,52.04204177856445,0.9959959983825684,-10042.359375,-10042.359375,9995.0,9995.0,9916.984375,10072.0,10109.0,1386.18603515625,-20.724538803100586,0.010507723316550255,0.010460893623530865,0.010553520172834396,0.01050766371190548,0.01050766371190548,8.045858379546189e-08,3.390942219994031e-05,0.040526192635297775,0.00021740961528848857
G25,5,64.55255126953125,0.9949949979782104,-10037.3828125,-10037.3828125,9995.0,9995.0,9916.4765625,10099.0,10109.0,1386.183837890625,-20.91014289855957,0.010612478479743004,0.010565187782049179,0.010658727958798409,0.010612470097839832,0.010612470097839832,1.6350514275842443e-09,1.0848809324670583e-05,0.040886372327804565,0.0001406586088705808
G25,6,77.06306457519531,0.9939939975738525,-10034.083984375,-10034.083984375,9995.0,9995.0,9879.7265625,10093.0,10109.0,1386.181640625,-21.097463607788086,0.010718369856476784,0.010670612566173077,0.01076507568359375,0.010718327015638351,0.010718327015638351,-7.098920917769647e-08,2.9463899409165606e-05,0.04124930873513222,5.51694211026188e-05
G25,7,89.57357025146484,0.9929929971694946,-10031.76171875,-10031.76171875,9995.0,9995.0,9890.1015625,10070.0,10109.0,1386.179443359375,-21.28644561767578,0.010825423523783684,0.010777193121612072,0.010872590355575085,0.010825341567397118,0.010825341567397118,-1.043182322746361e-07,4.0880146116251126e-05,0.04161510616540909,0.00011981974239461124
G25,8,102.0840835571289,0.9919919967651367,-10030.056640625,-10030.056640625,9995.0,9995.0,9898.671875,10063.0,10109.0,1386.177001953125,-21.477304458618164,0.01093366276472807,0.010884955525398254,0.010981297120451927,0.01093360036611557,0.01093360036611557,-9.016873292466698e-08,3.5170058254152536e-05,0.041984256356954575,0.00016523341764695942
G25,9,114.59459686279297,0.9909909963607788,-10028.767578125,-10028.767578125,9995.0,9995.0,9988.21875,10124.0,10124.0,1386.1748046875,-21.670198440551758,0.01104312390089035,0.01099393516778946,0.011091228574514389,0.011043103411793709,0.011043103411793709,-4.089849525712452e-08,1.9441848053247668e-05,0.04235714673995972,0.00014468652079813182
G25,10,127.1051025390625,0.9899899959564209,-10027.76953125,-10027.76953125,9995.0,9995.0,9734.3671875,9880.0,10124.0,1386.17236328125,-21.865123748779297,0.011153830215334892,0.011104153469204903,0.011202412657439709,0.011153822764754295,0.011153822764754295,1.9693732866699065e-08,8.913862984627485e-06,0.04273378849029541,8.170149521902204e-05
G25,11,139.61561584472656,0.988988995552063,-10026.990234375,-10026.990234375,9995.0,9995.0,9863.90625,10046.0,10124.0,1386.169921875,-22.062013626098633,0.011265815235674381,0.01121564581990242,0.011314879171550274,0.011265784502029419,0.011265784502029419,6.596858526108917e-08,2.5614668629714288e-05,0.0431140698492527,5.264672654448077e-05
G25,12,152.12612915039062,0.9879879951477051,-10026.373046875,-10026.373046875,9995.0,9995.0,9880.9296875,10057.0,10124.0,1386.16748046875,-22.26091766357422,0.011379104107618332,0.011328436434268951,0.011428656056523323,0.011379057541489601,0.011379057541489601,8.06089062166393e-08,3.1543811928713694e-05,0.04349810257554054,0.00010279910202370957
G25,13,164.6366424560547,0.9869869947433472,-10025.880859375,-10025.880859375,9995.0,9995.0,10024.75,10180.0,10180.0,1386.164794921875,-22.461963653564453,0.011493731290102005,0.011442557908594608,0.011543776839971542,0.011493696831166744,0.011493696831166744,6.162250798524838e-08,2.6359748517279513e-05,0.043886128813028336,0.00012780242832377553
G25,14,177.1471405029297,0.9859859943389893,-10025.490234375,-10025.490234375,9995.0,9995.0,9960.2890625,10138.0,10180.0,1386.162109375,-22.665246963500977,0.011609728448092937,0.0115580465644598,0.011660273186862469,0.011609717272222042,0.011609717272222042,2.1851215947776836e-08,1.543236430734396e-05,0.04427836090326309,0.00010974191536661237
G25,15,189.65765380859375,0.9849849939346313,-10025.1796875,-10025.1796875,9995.0,9995.0,9745.40625,9934.0,10180.0,1386.15966796875,-22.870792388916016,0.011727125383913517,0.011674926616251469,0.011778175830841064,0.01172711979597807,0.01172711979597807,-2.0291402336169995e-08,8.372971933567896e-06,0.0446748323738575,6.465357728302479e-05
G25,16,202.1681671142578,0.9839839935302734,-10024.935546875,-10024.935546875,9995.0,9995.0,9884.1796875,10069.0,10180.0,1386.15673828125,-23.078596115112305,0.011845959350466728,0.011793237179517746,0.01189751923084259,0.011845939792692661,0.011845939792692661,-4.876337555970167e-08,2.031093208643142e-05,0.04507553204894066,4.692963921115734e-05
G25,17,214.67868041992188,0.9829829931259155,-10024.74609375,-10024.74609375,9995.0,9995.0,10023.125,10177.0,10180.0,1386.154052734375,-23.288715362548828,0.011966251768171787,0.011913000606000423,0.012018328532576561,0.011966223828494549,0.011966223828494549,-5.486813847710437e-08,2.4540209778933786e-05,0.04548058286309242,8.167308988049626e-05
G25,18,227.18919372558594,0.9819819927215576,-10024.603515625,-10024.603515625,9995.0,9995.0,9969.625,10179.0,10180.0,1386.151123046875,-23.501232147216797,0.012088047340512276,0.012034261599183083,0.012140649370849133,0.012088027782738209,0.012088027782738209,-4.016936472339694e-08,2.0962004782631993e-05,0.04589013755321503,0.00010018005559686571
