instance,step,beta,gamma,loss_mean,free_energy_mean,expected_cut_mean,expected_cut_max,hard_cut_mean,hard_cut_max,best_cut_so_far,entropy_mean,driver_energy_mean,R_mean,R_min,R_max,rx_mean,rx_abs_mean,rz_mean,rz_abs_mean,grad_norm_raw_R,grad_norm_theta
G14,0,2.0,1.0,-2632.23876953125,-2632.23876953125,2347.0,2347.0,2332.8671875,2432.0,2432.0,554.4776611328125,-7.999996185302734,0.010099474340677261,0.010056464932858944,0.010143181309103966,0.010099222883582115,0.010099222883582115,7.210955033087885e-08,6.967885565245524e-05,0.024626243859529495,2.498114736226853e-05
G14,1,14.510510444641113,0.9989989995956421,-2393.283447265625,-2393.283447265625,2347.0,2347.0,2333.34375,2432.0,2432.0,554.4769287109375,-8.071290969848633,0.010199961252510548,0.010156523436307907,0.010244099423289299,0.010199946351349354,0.010199946351349354,5.8301115046788254e-08,1.4893221305101179e-05,0.02495066076517105,0.00017835822654888034
G14,2,27.021020889282227,0.9979979991912842,-2375.6640625,-2375.6640625,2347.0,2347.0,2327.390625,2430.0,2432.0,554.47607421875,-8.143621444702148,0.010301477275788784,0.010257611982524395,0.01034605037420988,0.010301372036337852,0.010301372036337852,-2.469260707016474e-08,4.575186176225543e-05,0.025179721415042877,4.4874650484416634e-05
G14,3,39.531532287597656,0.9969969987869263,-2369.24267578125,-2369.24267578125,2347.0,2347.0,2326.515625,2403.0,2432.0,554.4752197265625,-8.216349601745605,0.010404047556221485,0.0103597491979599,0.010449059307575226,0.010403902269899845,0.010403902269899845,-8.360725445299977e-08,5.3376257710624486e-05,0.02540495991706848,0.00011674468260025606
G14,4,52.04204177856445,0.9959959983825684,-2365.9443359375,-2365.9443359375,2347.0,2347.0,2328.7265625,2417.0,2432.0,554.474365234375,-8.289795875549316,0.01050769817084074,0.010462962090969086,0.010553152300417423,0.010507635772228241,0.010507635772228241,-7.547950531261449e-08,3.3892716601258144e-05,0.025630952790379524,0.0001374221028527245
G14,5,64.55255126953125,0.9949949979782104,-2363.95361328125,-2363.95361328125,2347.0,2347.0,2330.9140625,2432.0,2432.0,554.4735107421875,-8.364036560058594,0.01061245333403349,0.010567276738584042,0.010658356361091137,0.010612444952130318,0.010612444952130318,-2.6414774367822247e-08,1.0838275557034649e-05,0.025858750566840172,8.884589624358341e-05
G14,6,77.06306457519531,0.9939939975738525,-2362.63427734375,-2362.63427734375,2347.0,2347.0,2319.3984375,2418.0,2432.0,554.47265625,-8.43896484375,0.01071834284812212,0.010672721080482006,0.01076470036059618,0.010718300007283688,0.010718300007283688,3.111886570650313e-08,2.949661575257778e-05,0.02608829364180565,3.4826112823793665e-05
G14,7,89.57357025146484,0.9929929971694946,-2361.70458984375,-2361.70458984375,2347.0,2347.0,2321.703125,2413.0,2432.0,554.4718017578125,-8.514556884765625,0.01082539651542902,0.010779323056340218,0.010872210375964642,0.010825314559042454,0.010825314559042454,6.529784712938635e-08,4.088614150532521e-05,0.026319637894630432,7.578456279588863e-05
G14,8,102.0840835571289,0.9919919967651367,-2361.0224609375,-2361.0224609375,2347.0,2347.0,2324.453125,2399.0,2432.0,554.4708251953125,-8.590900421142578,0.01093363482505083,0.010887106880545616,0.010980913415551186,0.010933573357760906,0.010933573357760906,6.296576060549341e-08,3.517695586197078e-05,0.026553113013505936,0.00010446225496707484
G14,9,114.59459686279297,0.9909909963607788,-2360.5068359375,-2360.5068359375,2347.0,2347.0,2349.7890625,2447.0,2447.0,554.4698486328125,-8.668058395385742,0.011043095029890537,0.010996106080710888,0.011090842075645924,0.011043076403439045,0.011043076403439045,3.477334686863287e-08,1.9385521227377467e-05,0.026788948103785515,9.142806084128097e-05
G14,10,127.1051025390625,0.9899899959564209,-2360.1083984375,-2360.1083984375,2347.0,2347.0,2274.515625,2369.0,2447.0,554.468994140625,-8.746028900146484,0.011153802275657654,0.011106347665190697,0.011202020570635796,0.011153793893754482,0.011153793893754482,-3.182772045917659e-09,8.924373105401173e-06,0.027027156203985214,5.156537008588202e-05
G14,11,139.61561584472656,0.988988995552063,-2359.79638671875,-2359.79638671875,2347.0,2347.0,2315.9140625,2410.0,2447.0,554.468017578125,-8.824784278869629,0.011265788227319717,0.01121786143630743,0.011314484290778637,0.01126575656235218,0.01126575656235218,-3.382229607495901e-08,2.563951420597732e-05,0.027267666533589363,3.326193836983293e-05
G14,12,152.12612915039062,0.9879879951477051,-2359.54931640625,-2359.54931640625,2347.0,2347.0,2321.90625,2397.0,2447.0,554.4669189453125,-8.904346466064453,0.011379077099263668,0.011330673471093178,0.011428257450461388,0.011379029601812363,0.011379029601812363,-4.69440699646384e-08,3.157753963023424e-05,0.027510549873113632,6.50307338219136e-05
G14,13,164.6366424560547,0.9869869947433472,-2359.3525390625,-2359.3525390625,2347.0,2347.0,2359.9609375,2437.0,2447.0,554.4659423828125,-8.984763145446777,0.011493702419102192,0.0114448182284832,0.01154337264597416,0.011493667960166931,0.011493667960166931,-4.09355855879312e-08,2.6321265977458097e-05,0.02775595895946026,8.080206316662952e-05
