step,discrete_cut,gap,entropy
250,2268.0,31069.0,
251,567.0,32770.0,
252,1876.0,31461.0,
253,2146.0,31191.0,
254,800.0,32537.0,
255,434.0,32903.0,
256,1578.0,31759.0,
257,1343.0,31994.0,
258,913.0,32424.0,
259,704.0,32633.0,
260,2059.0,31278.0,
261,-19.0,33356.0,
262,1090.0,32247.0,
263,-124.0,33461.0,
264,1079.0,32258.0,
265,628.0,32709.0,
266,2083.0,31254.0,
267,1192.0,32145.0,
268,867.0,32470.0,
269,1086.0,32251.0,
270,743.0,32594.0,
271,1259.0,32078.0,
272,1768.0,31569.0,
273,359.0,32978.0,
274,1301.0,32036.0,
275,802.0,32535.0,
276,115.0,33222.0,
277,984.0,32353.0,
278,748.0,32589.0,
279,224.0,33113.0,
280,1470.0,31867.0,
281,677.0,32660.0,
282,1446.0,31891.0,
283,1581.0,31756.0,
284,311.0,33026.0,
285,1141.0,32196.0,
286,2104.0,31233.0,
287,618.0,32719.0,
288,1822.0,31515.0,
289,301.0,33036.0,
290,768.0,32569.0,
291,134.0,33203.0,
292,708.0,32629.0,
293,626.0,32711.0,
294,327.0,33010.0,
295,849.0,32488.0,
296,588.0,32749.0,
297,1994.0,31343.0,
298,1213.0,32124.0,
299,780.0,32557.0,
300,1053.0,32284.0,
301,715.0,32622.0,
302,577.0,32760.0,
303,266.0,33071.0,
304,888.0,32449.0,
305,2086.0,31251.0,
306,230.0,33107.0,
307,1769.0,31568.0,
308,1346.0,31991.0,
309,916.0,32421.0,
310,1139.0,32198.0,
311,1325.0,32012.0,
312,391.0,32946.0,
313,1209.0,32128.0,
314,2540.0,30797.0,
315,-43.0,33380.0,
316,915.0,32422.0,
317,469.0,32868.0,
318,707.0,32630.0,
319,2008.0,31329.0,
320,27.0,33310.0,
321,1326.0,32011.0,
322,884.0,32453.0,
323,1494.0,31843.0,
324,838.0,32499.0,
325,1383.0,31954.0,
326,935.0,32402.0,
327,-204.0,33541.0,
328,1288.0,32049.0,
329,947.0,32390.0,
330,260.0,33077.0,
331,232.0,33105.0,
332,1734.0,31603.0,
333,420.0,32917.0,
334,2021.0,31316.0,
335,1257.0,32080.0,
336,699.0,32638.0,
337,1739.0,31598.0,
338,1073.0,32264.0,
339,610.0,32727.0,
340,1538.0,31799.0,
341,504.0,32833.0,
342,1070.0,32267.0,
343,1784.0,31553.0,
344,4.0,33333.0,
345,847.0,32490.0,
346,1460.0,31877.0,
347,982.0,32355.0,
348,1807.0,31530.0,
349,942.0,32395.0,
350,1172.0,32165.0,
351,96.0,33241.0,
352,690.0,32647.0,
353,733.0,32604.0,
354,932.0,32405.0,
355,63.0,33274.0,
356,1523.0,31814.0,
357,707.0,32630.0,
358,208.0,33129.0,
359,224.0,33113.0,
360,1116.0,32221.0,
361,764.0,32573.0,
362,434.0,32903.0,
363,958.0,32379.0,
364,616.0,32721.0,
365,968.0,32369.0,
