method,trial,seed,energy,cut,gap,relative_error,ground_hit,target_hit,best_replica,runtime_sec
qefem,0,3454116278,-1978.0,,10.0,0.005030181086519115,False,,2827,166.3480736670026
lqa,0,3454116278,-1942.0,,46.0,0.023138832997987926,False,,0,0.1197467079909984
qefem,1,2469137728,-1976.0,,12.0,0.006036217303822937,False,,722,175.59926758302026
lqa,1,2469137728,-1930.0,,58.0,0.029175050301810865,False,,0,0.12037733400939032
qefem,2,1962915497,-1976.0,,12.0,0.006036217303822937,False,,1296,163.3600054999988
lqa,2,1962915497,-1932.0,,56.0,0.028169014084507043,False,,0,0.12070500000845641
qefem,3,2577650513,-1976.0,,12.0,0.006036217303822937,False,,942,162.98421145800967
lqa,3,2577650513,-1950.0,,38.0,0.019114688128772636,False,,0,0.11879908398259431
qefem,4,3734492368,-1976.0,,12.0,0.006036217303822937,False,,3590,163.413759957999
lqa,4,3734492368,-1952.0,,36.0,0.018108651911468814,False,,0,0.11941637500422075
qefem,5,3046483249,-1976.0,,12.0,0.006036217303822937,False,,1650,162.65606566600036
lqa,5,3046483249,-1936.0,,52.0,0.026156941649899398,False,,0,0.11801962499157526
qefem,6,3339915991,-1976.0,,12.0,0.006036217303822937,False,,40,162.6838355420041
lqa,6,3339915991,-1946.0,,42.0,0.02112676056338028,False,,0,0.1213202080107294
qefem,7,3663455289,-1976.0,,12.0,0.006036217303822937,False,,2729,162.42872108399752
lqa,7,3663455289,-1948.0,,40.0,0.02012072434607646,False,,0,0.12010150001151487
qefem,8,431971488,-1976.0,,12.0,0.006036217303822937,False,,91,161.81363224997767
lqa,8,431971488,-1942.0,,46.0,0.023138832997987926,False,,0,0.11699645800399594
qefem,9,3976079582,-1976.0,,12.0,0.006036217303822937,False,,7852,161.53855379199376
lqa,9,3976079582,-1934.0,,54.0,0.02716297786720322,False,,0,0.11981737497262657
