method,trial,seed,energy,cut,gap,relative_error,ground_hit,target_hit,best_replica,runtime_sec
qefem,0,2327127638,-73.32511036810428,,1.9362219263323084,0.025726649626098053,False,,156,77.60011941700941
lqa,0,2327127638,-72.28282916032023,,2.9785031341163517,0.03957547711836781,False,,0,0.10752225000760518
qefem,1,833054802,-73.35363084732239,,1.9077014471141922,0.025347697003966167,False,,4345,77.57743104198016
lqa,1,833054802,-71.91385944228566,,3.347472852150929,0.04447799088986336,False,,0,0.1071828750136774
qefem,2,2652443598,-73.30920809773136,,1.9521241967052276,0.025937943658347,False,,1378,77.61113549998845
lqa,2,2652443598,-72.05976477928826,,3.2015675151483265,0.04253934148578699,False,,0,0.10462179200840183
qefem,3,3407890748,-73.28385307530664,,1.9774792191299468,0.026274836743437835,False,,793,77.87056833298993
lqa,3,3407890748,-72.47940367662024,,2.781928617816348,0.036963584526153705,False,,0,0.10572795799816959
qefem,4,4232521992,-73.38476218006564,,1.8765701143709492,0.024934053878151553,False,,4250,77.9048642499838
lqa,4,4232521992,-72.38438881153556,,2.8769434829010265,0.038226050419169814,False,,0,0.1085964999801945
