step,temperature,beta,gamma_base,gamma_pulse,gamma
109,1.0973319,0.9113013,0.945973,0.0,0.945973
110,1.0967516,0.9117835,0.9454727,0.0,0.9454727
111,1.0961714,0.91226614,0.9449725,0.0,0.9449725
112,1.0955911,0.9127493,0.94447225,0.0,0.94447225
113,1.0950109,0.9132329,0.943972,0.0,0.943972
114,1.0944306,0.91371715,0.9434717,0.0,0.9434717
115,1.0938504,0.9142018,0.94297147,0.0,0.94297147
116,1.0932701,0.9146871,0.9424712,0.0,0.9424712
117,1.0926898,0.9151729,0.941971,0.0,0.941971
118,1.0921096,0.91565907,0.94147074,0.0,0.94147074
119,1.0915293,0.91614586,0.9409705,0.0,0.9409705
120,1.090949,0.91663307,0.9404702,0.0,0.9404702
121,1.0903687,0.91712093,0.93996996,0.0,0.93996996
122,1.0897884,0.9176093,0.93946975,0.0,0.93946975
123,1.0892082,0.9180981,0.9389695,0.0,0.9389695
124,1.0886279,0.9185875,0.93846923,0.0,0.93846923
125,1.0880477,0.91907734,0.93796897,0.0,0.93796897
126,1.0874674,0.91956776,0.9374687,0.0,0.9374687
127,1.0868872,0.92005867,0.9369685,0.0,0.9369685
128,1.0863069,0.92055017,0.93646824,0.0,0.93646824
129,1.0857266,0.92104214,0.935968,0.0,0.935968
130,1.0851464,0.9215346,0.9354677,0.0,0.9354677
131,1.0845661,0.9220277,0.93496746,0.0,0.93496746
132,1.0839859,0.9225212,0.93446726,0.0,0.93446726
133,1.0834056,0.92301536,0.933967,0.0,0.933967
134,1.0828254,0.9235099,0.93346673,0.0,0.93346673
135,1.0822451,0.9240051,0.9329665,0.0,0.9329665
136,1.0816648,0.9245008,0.9324662,0.0,0.9324662
137,1.0810846,0.924997,0.93196595,0.0,0.93196595
138,1.0805043,0.9254938,0.93146574,0.0,0.93146574
139,1.0799241,0.925991,0.9309655,0.0,0.9309655
140,1.0793438,0.9264889,0.9304652,0.0,0.9304652
141,1.0787636,0.9269872,0.92996496,0.0,0.92996496
142,1.0781833,0.92748606,0.9294647,0.0,0.9294647
143,1.077603,0.92798555,0.9289645,0.0,0.9289645
144,1.0770228,0.92848545,0.92846423,0.0,0.92846423
145,1.0764425,0.928986,0.927964,0.0,0.927964
146,1.0758623,0.929487,0.9274637,0.0,0.9274637
147,1.075282,0.9299886,0.92696345,0.0,0.92696345
148,1.0747018,0.9304907,0.92646325,0.0,0.92646325
149,1.0741215,0.9309934,0.925963,0.0,0.925963
150,1.0735412,0.9314967,0.9254627,0.0,0.9254627
151,1.072961,0.93200034,0.92496246,0.0,0.92496246
152,1.0723807,0.9325047,0.9244622,0.0,0.9244622
153,1.0718005,0.9330095,0.923962,0.0,0.923962
154,1.0712202,0.9335149,0.92346174,0.0,0.92346174
155,1.0706398,0.9340209,0.9229615,0.0,0.9229615
156,1.0700597,0.93452734,0.9224612,0.0,0.9224612
157,1.0694793,0.9350344,0.92196095,0.0,0.92196095
158,1.0688992,0.9355419,0.92146075,0.0,0.92146075
159,1.0683188,0.9360501,0.9209605,0.0,0.9209605
160,1.0677387,0.9365588,0.9204602,0.0,0.9204602
161,1.0671583,0.93706805,0.91995996,0.0,0.91995996
162,1.0665781,0.9375778,0.9194597,0.0,0.9194597
163,1.0659978,0.9380882,0.9189595,0.0,0.9189595
164,1.0654175,0.93859917,0.91845924,0.0,0.91845924
165,1.0648373,0.9391106,0.917959,0.0,0.917959
166,1.064257,0.93962264,0.9174587,0.0,0.9174587
167,1.0636768,0.9401352,0.91695845,0.0,0.91695845
168,1.0630965,0.9406484,0.91645825,0.0,0.91645825
169,1.0625162,0.9411621,0.915958,0.0,0.915958
170,1.061936,0.9416763,0.9154577,0.0,0.9154577
171,1.0613557,0.9421912,0.91495746,0.0,0.91495746
172,1.0607755,0.9427065,0.9144572,0.0,0.9144572
173,1.0601952,0.9432225,0.913957,0.0,0.913957
174,1.059615,0.943739,0.91345674,0.0,0.91345674
175,1.0590347,0.9442561,0.9129565,0.0,0.9129565
176,1.0584544,0.9447738,0.9124562,0.0,0.9124562
