graph,step,temperature,beta,gamma,loss,mean_expected_cut,max_expected_cut,step_best_raw_cut,global_best_raw_cut_so_far,mean_entropy,mean_driver_energy,mean_free_energy,mean_R,mean_abs_rx,mean_abs_rz,frac_polarized,frac_ambiguous,run_group,partition,graph_type
G11,1,1.159999966621399,0.8620690107345581,1.0,-668.193603515625,17.0,17.0,76.0,76.0,554.4776611328125,-7.99962043762207,-668.193603515625,0.010000023990869522,0.009999525733292103,7.957929483382031e-05,0.0,1.0,small_1_3,2,toroidal
G11,50,1.1315672397613525,0.8837300539016724,0.9754877686500549,-657.3307495117188,17.0,17.0,84.0,98.0,554.406982421875,-12.981929779052734,-657.3307495117188,0.01663517765700817,0.01663517765700817,5.885552127438132e-06,0.0,1.0,small_1_3,2,toroidal
G11,100,1.102554202079773,0.9069848656654358,0.9504752159118652,-651.4873046875,17.0,17.0,92.0,110.0,554.134765625,-23.523685455322266,-651.4873046875,0.030936740338802338,0.030936740338802338,7.815777962605353e-07,0.0,1.0,small_1_3,2,toroidal
G11,150,1.0735411643981934,0.9314966797828674,0.9254627227783203,-658.65869140625,17.0,17.0,0.0,110.0,552.822509765625,-48.180908203125,-658.65869140625,0.0650768056511879,0.06507677584886551,4.503902528085746e-05,0.0,1.0,small_1_3,2,toroidal
G11,200,1.0445282459259033,0.9573699831962585,0.9004502296447754,-693.6485595703125,16.999996185302734,16.999998092651367,-76.0,110.0,545.7215576171875,-106.626953125,-693.6485595703125,0.1480190008878708,0.148018941283226,0.00010120760271092877,0.0,1.0,small_1_3,2,toroidal
G11,250,1.0155152082443237,0.984721839427948,0.8754377365112305,-757.2685546875,16.999969482421875,16.999982833862305,-186.0,110.0,515.5965576171875,-216.67251586914062,-757.2685546875,0.309377521276474,0.30937740206718445,0.0002186178317060694,0.0,1.0,small_1_3,2,toroidal
G11,300,0.9865021705627441,1.01368248462677,0.8504252433776855,-798.4483642578125,16.99993896484375,16.99995994567871,-272.0,110.0,454.2040710449219,-333.3751525878906,-798.4483642578125,0.490012526512146,0.49001243710517883,0.0002741753123700619,0.0,1.0,small_1_3,2,toroidal
G11,350,0.9574891924858093,1.0443981885910034,0.8254126906394958,-799.7317504882812,43.7822151184082,49.3026123046875,548.0,548.0,399.24029541015625,-373.6812744140625,-799.7317504882812,0.601945161819458,0.5659006237983704,0.1792782098054886,0.0,0.11878906190395355,small_1_3,2,toroidal
G11,400,0.9284762144088745,1.077033519744873,0.8004001975059509,-799.6319580078125,134.50872802734375,136.61428833007812,556.0,556.0,343.57806396484375,-346.1191711425781,-799.6319580078125,0.6914037466049194,0.5405407547950745,0.3977985382080078,0.0,0.04325195401906967,small_1_3,2,toroidal
G11,450,0.8994631767272949,1.111774206161499,0.775387704372406,-794.9868774414062,201.373046875,204.2098388671875,556.0,556.0,293.40478515625,-329.70703125,-794.9868774414062,0.7576746940612793,0.5315195918083191,0.5034515261650085,0.0,0.03299804776906967,small_1_3,2,toroidal
