method,trial,seed,energy,cut,gap,relative_error,ground_hit,target_hit,best_replica,runtime_sec
qefem,0,2334942414,-1935.0,,10.0,0.005141388174807198,False,,4055,160.82459208299406
lqa,0,2334942414,-1897.0,,48.0,0.024678663239074552,False,,0,0.11953987498418428
qefem,1,972959248,-1935.0,,10.0,0.005141388174807198,False,,143,162.01667545898817
lqa,1,972959248,-1919.0,,26.0,0.013367609254498715,False,,0,0.1198989579861518
qefem,2,918715373,-1935.0,,10.0,0.005141388174807198,False,,377,162.5711441669846
lqa,2,918715373,-1923.0,,22.0,0.011311053984575836,False,,0,0.11887170802219771
qefem,3,995766950,-1935.0,,10.0,0.005141388174807198,False,,3353,160.07778916700045
lqa,3,995766950,-1915.0,,30.0,0.015424164524421594,False,,0,0.11928579199593514
qefem,4,1063847819,-1935.0,,10.0,0.005141388174807198,False,,1762,160.257858166995
lqa,4,1063847819,-1903.0,,42.0,0.021593830334190232,False,,0,0.11888808300136589
qefem,5,3453807154,-1935.0,,10.0,0.005141388174807198,False,,2403,160.240600042016
lqa,5,3453807154,-1921.0,,24.0,0.012339331619537276,False,,0,0.12042166601167992
qefem,6,4930965,-1935.0,,10.0,0.005141388174807198,False,,860,164.15420066702063
lqa,6,4930965,-1913.0,,32.0,0.016452442159383032,False,,0,0.11775604099966586
qefem,7,1808819323,-1935.0,,10.0,0.005141388174807198,False,,3910,160.29972483299207
lqa,7,1808819323,-1911.0,,34.0,0.017480719794344474,False,,0,0.11894087499240413
qefem,8,636621466,-1935.0,,10.0,0.005141388174807198,False,,2593,165.63930929201888
lqa,8,636621466,-1917.0,,28.0,0.014395886889460155,False,,0,0.12075420800829306
qefem,9,609911884,-1935.0,,10.0,0.005141388174807198,False,,1583,163.1158375829982
lqa,9,609911884,-1915.0,,30.0,0.015424164524421594,False,,0,0.11663858298561536
