partition,graph,step,beta,gamma,loss,free_energy_mean,expected_cut_mean,expected_cut_max,hard_cut_mean,hard_cut_max,best_cut_so_far,best_known_cut,gap,accuracy_percent,R_mean,rx_abs_mean,rz_abs_mean,best_replica_so_far,elapsed_sec
13,G60,1,0.8620690107345581,1.0,-14271.947265625,-14271.947265625,8574.0,8574.0,8521.1953125,8679.0,8679.0,14188.0,5509.0,61.171412461234844,0.01009947806596756,0.010099225677549839,6.973556446610019e-05,122,0.04123115539550781
13,G60,50,0.9065311551094055,0.9509509801864624,-14035.8203125,-14035.8203125,8574.0,8574.0,8596.828125,8726.0,8726.0,14188.0,5462.0,61.502678319706796,0.01679905503988266,0.01679905503988266,3.7150193747947924e-06,20,0.9756474494934082
13,G60,100,0.9568911194801331,0.9009009003639221,-13834.591796875,-13834.591796875,8574.0,8574.0,8243.6171875,8394.0,8726.0,14188.0,5462.0,61.502678319706796,0.031085442751646042,0.031085442751646042,6.113430686127685e-07,20,1.8950822353363037
13,G60,150,1.0131754875183105,0.8508508205413818,-13727.73828125,-13727.73828125,8574.0,8574.0,4919.2890625,6840.0,8726.0,14188.0,5462.0,61.502678319706796,0.06460089236497879,0.0646008625626564,4.664628067985177e-05,20,2.797922134399414
13,G60,200,1.076494812965393,0.8008008003234863,-13812.728515625,-13812.728515625,8574.0,8574.0,3210.3046875,8319.0,8726.0,14188.0,5462.0,61.502678319706796,0.14457283914089203,0.14457274973392487,0.00013574700278695673,20,3.6336214542388916
13,G60,250,1.1482561826705933,0.7507507801055908,-14082.15234375,-14082.15234375,8574.0,8574.0,2811.7421875,6451.0,8726.0,14188.0,5462.0,61.502678319706796,0.29912450909614563,0.29912444949150085,0.0002001350949285552,20,4.528083324432373
13,G60,300,1.2302684783935547,0.7007007002830505,-14240.75390625,-14240.75390625,8843.23046875,8907.48046875,13721.859375,13803.0,13803.0,14188.0,385.0,97.28643924443192,0.47731050848960876,0.43033844232559204,0.17843154072761536,1,5.456937313079834
13,G60,350,1.324897050857544,0.6506506204605103,-14632.1533203125,-14632.1533203125,10314.03125,10365.90234375,13899.25,13961.0,13961.0,14188.0,227.0,98.40005638567804,0.6544681787490845,0.4140871465206146,0.45723673701286316,116,6.413302183151245
13,G60,400,1.435295581817627,0.6006006002426147,-14846.611328125,-14846.611328125,11412.919921875,11467.26953125,13943.5,14000.0,14000.0,14188.0,188.0,98.67493656611221,0.7684404850006104,0.4068382978439331,0.6024293899536133,116,7.3785483837127686
13,G60,450,1.5657646656036377,0.5505505800247192,-14834.71484375,-14834.71484375,12058.193359375,12115.1494140625,13963.6015625,14024.0,14024.0,14188.0,164.0,98.84409360022555,0.8283247947692871,0.39074769616127014,0.6827211380004883,116,8.338626146316528
13,G60,500,1.7223249673843384,0.500500500202179,-14736.14453125,-14736.14453125,12471.0419921875,12529.5361328125,13973.671875,14030.0,14030.0,14188.0,158.0,98.88638285875388,0.8632255792617798,0.36957529187202454,0.7345798015594482,116,9.261015176773071
13,G60,550,1.913672685623169,0.45045047998428345,-14611.28125,-14611.28125,12769.28125,12826.751953125,13978.296875,14033.0,14033.0,14188.0,155.0,98.90752748801805,0.8864328265190125,0.34527188539505005,0.7729820013046265,116,10.10189414024353
13,G60,600,2.152850866317749,0.40040040016174316,-14482.357421875,-14482.357421875,13002.517578125,13058.955078125,13980.46875,14035.0,14035.0,14188.0,153.0,98.92162390752749,0.9034807085990906,0.3187369406223297,0.8039677739143372,116,11.067004203796387
13,G60,650,2.460355520248413,0.35035037994384766,-14358.736328125,-14358.736328125,13193.697265625,13249.755859375,13981.53125,14037.0,14037.0,14188.0,151.0,98.93572032703693,0.9168979525566101,0.2902480363845825,0.830433189868927,116,12.074734210968018
13,G60,700,2.8703441619873047,0.3003003001213074,-14244.9013671875,-14244.9013671875,13354.138671875,13409.783203125,13982.3984375,14037.0,14037.0,14188.0,151.0,98.93572032703693,0.927960216999054,0.2598839998245239,0.8534369468688965,116,13.130611419677734
13,G60,750,3.4442949295043945,0.25025027990341187,-14143.328125,-14143.328125,13489.53125,13544.6826171875,13982.6171875,14037.0,14037.0,14188.0,151.0,98.93572032703693,0.9373385906219482,0.22773046791553497,0.8734077215194702,116,14.112364053726196
13,G60,800,4.305146217346191,0.20020020008087158,-14055.44921875,-14055.44921875,13602.8017578125,13657.5693359375,13982.7421875,14037.0,14037.0,14188.0,151.0,98.93572032703693,0.9453584551811218,0.1937917321920395,0.8905692100524902,116,14.978167057037354
13,G60,850,5.739701271057129,0.15015017986297607,-13982.1982421875,-13982.1982421875,13695.5234375,13749.955078125,13982.8046875,14037.0,14037.0,14188.0,151.0,98.93572032703693,0.9521797299385071,0.15798534452915192,0.9050737619400024,116,16.260130167007446
