run_group,instance,step,temperature,beta,gamma,loss,mean_free_energy,mean_expected_cut,max_expected_cut,mean_entropy,mean_driver_energy,step_best_cut,global_best_cut,global_best_accuracy,step_success_count,step_success_probability,ever_success_count,ever_success_probability,mean_R,mean_abs_rx,mean_abs_rz,frac_polarized,frac_ambiguous,raw_R_grad_norm,theta_grad_norm,raw_R_grad_mean_abs,theta_grad_mean_abs,raw_R_grad_max_abs,theta_grad_max_abs,raw_R_step_norm,theta_step_norm,raw_R_step_mean_abs,theta_step_mean_abs
small_1_3,G19,1,1.159999966621399,0.8620690107345581,1.0,-594.693603515625,-594.930419921875,-56.5,-56.499996185302734,554.4752197265625,-8.239209175109863,24.0,24.0,2.6490066225165565,0,0.0,0,0.0,0.010301363654434681,0.010299011133611202,0.00021306241978891194,0.0,1.0,0.0244616586714983,0.00024995175772346556,7.644264405826107e-05,6.221565058694978e-07,7.67671299399808e-05,4.015969807369402e-06,9.59869384765625,9.202281951904297,0.02999591827392578,0.028628796339035034
small_1_3,G19,50,1.1315672397613525,0.8837300539016724,0.9754877686500549,-610.1137084960938,-611.6519165039062,-56.5,-56.5,553.359130859375,-41.988746643066406,113.0,149.0,16.445916114790286,0,0.0,0,0.0,0.053804825991392136,0.05380480736494064,3.711947283591144e-05,0.0,1.0,0.1123964712023735,0.0001001664059003815,0.0003512388502713293,2.57092636957168e-07,0.00035249433130957186,1.4383633697434561e-06,13.446798324584961,0.35427042841911316,0.042021244764328,0.0009190473356284201
small_1_3,G19,100,1.102554202079773,0.9069848656654358,0.9504752159118652,-787.279541015625,-794.2894287109375,-29.16006088256836,-21.261016845703125,490.0914306640625,-283.09710693359375,825.0,825.0,91.05960264900662,0,0.0,0,0.0,0.39583805203437805,0.37230995297431946,0.11120998114347458,0.0,0.24152342975139618,0.38151609897613525,0.25692400336265564,0.0010999615769833326,0.0001846241211751476,0.010746086947619915,0.014490724541246891,16.046823501586914,12.654664039611816,0.05009905621409416,0.03445029631257057
small_1_3,G19,150,1.0735411643981934,0.9314966797828674,0.9254627227783203,-1099.4476318359375,-1101.520751953125,506.66119384765625,518.8863525390625,237.02633666992188,-340.402099609375,869.0,869.0,95.91611479028697,0,0.0,0,0.0,0.8184570074081421,0.45977354049682617,0.6127849817276001,0.0,0.022382812574505806,0.3432061970233917,0.0881289690732956,0.0006300275563262403,7.023644138826057e-05,0.013090629130601883,0.007975749671459198,8.26650333404541,1.416171908378601,0.02330036647617817,0.0032941640820354223
small_1_3,G19,200,1.0445282459259033,0.9573699831962585,0.9004502296447754,-1122.740234375,-1122.977294921875,610.4403076171875,624.0206298828125,174.45123291015625,-330.3178405761719,872.0,872.0,96.24724061810154,0,0.0,0,0.0,0.874607503414154,0.45854535698890686,0.6813080310821533,0.0656152293086052,0.024726562201976776,0.12350966781377792,0.00864843837916851,0.00020757231686729938,1.1861042366945185e-05,0.005005910526961088,0.0017674744594842196,2.654863119125366,0.5438189506530762,0.007010442670434713,0.0011628723004832864
small_1_3,G19,250,1.0155152082443237,0.984721839427948,0.8754377365112305,-1115.96044921875,-1116.045166015625,640.897705078125,654.8426513671875,156.5359344482422,-316.182861328125,876.0,876.0,96.6887417218543,0,0.0,0,0.0,0.8881814479827881,0.451463907957077,0.7024392485618591,0.11179687082767487,0.025126952677965164,0.07354859262704849,0.005922381300479174,0.00012005258031422272,7.75613898440497e-06,0.003012230386957526,0.004016091115772724,1.5708876848220825,0.5319695472717285,0.004045913927257061,0.0010562572861090302
small_1_3,G19,300,0.9865021705627441,1.01368248462677,0.8504252433776855,-1105.70703125,-1105.751708984375,659.4085693359375,675.0136108398438,146.20864868164062,-302.10797119140625,876.0,876.0,96.6887417218543,0,0.0,0,0.0,0.8958141803741455,0.4440542459487915,0.716541588306427,0.14466796815395355,0.025361327454447746,0.05144466459751129,0.004199791233986616,8.446791616734117e-05,7.627246304764412e-06,0.0020961137488484383,0.0017684418708086014,1.1864664554595947,0.49182596802711487,0.003072550753131509,0.0010430411202833056
small_1_3,G19,350,0.9574891924858093,1.0443981885910034,0.8254126906394958,-1094.5411376953125,-1094.5693359375,673.6973876953125,689.644775390625,138.569580078125,-288.1932067871094,877.0,877.0,96.7991169977925,0,0.0,0,0.0,0.9014579653739929,0.43643805384635925,0.7283053398132324,0.16999022662639618,0.024042967706918716,0.039030253887176514,0.0038487326819449663,6.553407001774758e-05,7.515381639677798e-06,0.001556265284307301,0.0011591373477131128,0.9878625273704529,0.4748387634754181,0.002613669028505683,0.0010260180570185184
small_1_3,G19,400,0.9284762144088745,1.077033519744873,0.8004001975059509,-1083.161376953125,-1083.1815185546875,686.0383911132812,702.06640625,132.14466857910156,-274.4499816894531,878.0,878.0,96.90949227373068,0,0.0,0,0.0,0.906248152256012,0.42861369252204895,0.7391071319580078,0.19188475608825684,0.02291015535593033,0.0312361940741539,0.0037403616588562727,5.414058250607923e-05,7.558389370387886e-06,0.0012153881834819913,0.0008000391535460949,0.8875047564506531,0.4625454246997833,0.002382624428719282,0.0010264142183586955
small_1_3,G19,450,0.8994631767272949,1.111774206161499,0.775387704372406,-1071.79345703125,-1071.808837890625,697.2215576171875,713.3017578125,126.3802490234375,-260.91302490234375,880.0,880.0,97.13024282560707,0,0.0,0,0.0,0.9105708599090576,0.420617014169693,0.7492960691452026,0.22095702588558197,0.022988280281424522,0.02588874287903309,0.00361496745608747,4.650583287002519e-05,7.525281944253948e-06,0.0010001836344599724,0.00012832041829824448,0.8207051157951355,0.46106648445129395,0.0022499586921185255,0.0010283865267410874
