run_group,instance,step,temperature,beta,gamma,loss,mean_free_energy,mean_expected_cut,max_expected_cut,mean_entropy,mean_driver_energy,step_best_cut,global_best_cut,global_best_accuracy,step_success_count,step_success_probability,ever_success_count,ever_success_probability,mean_R,mean_abs_rx,mean_abs_rz,frac_polarized,frac_ambiguous,raw_R_grad_norm,theta_grad_norm,raw_R_grad_mean_abs,theta_grad_mean_abs,raw_R_grad_max_abs,theta_grad_max_abs,raw_R_step_norm,theta_step_norm,raw_R_step_mean_abs,theta_step_mean_abs
big_19_21,G81,1,1.159999966621399,0.8620690107345581,1.0,-16296.84375,-16302.763671875,17.0,17.00000762939453,13861.8828125,-205.98068237304688,138.0,138.0,0.9815078236130867,0,0.0,0,0.0,0.010301384143531322,0.010299033485352993,0.0002130166976712644,0.0,1.0,0.12230852246284485,0.0012498776195570827,7.644278957741335e-05,6.233131557564775e-07,7.681687566218898e-05,3.825133717327844e-06,47.993465423583984,46.02775573730469,0.029995916411280632,0.028641603887081146
big_19_21,G81,50,1.1315672397613525,0.8837300539016724,0.9754877686500549,-16682.34375,-16720.796875,17.0,17.0,13833.9794921875,-1049.720458984375,846.0,1400.0,9.95732574679943,0,0.0,0,0.0,0.053804922848939896,0.053804900497198105,3.929023660020903e-05,0.0,1.0,0.5619832277297974,0.0004939202917739749,0.00035123940324410796,2.6045967160825967e-07,0.0003527008229866624,1.0138310244656168e-06,67.2339859008789,1.7597763538360596,0.042021237313747406,0.0009452227386645973
big_19_21,G81,100,1.102554202079773,0.9069848656654358,0.9504752159118652,-20925.111328125,-21040.728515625,16.99153709411621,16.992233276367188,12260.701171875,-7505.6484375,-3378.0,1538.0,10.938833570412518,0,0.0,0,0.0,0.3948385715484619,0.3948366045951843,0.000992132117971778,0.0,1.0,1.49269700050354,0.01827150024473667,0.0009329355088993907,9.135424988926388e-06,0.000934178358875215,5.625168705591932e-05,78.19438171386719,8.417519569396973,0.0488714836537838,0.004241257440298796
big_19_21,G81,150,1.0735411643981934,0.9314966797828674,0.9254627227783203,-22297.599609375,-22311.345703125,2430.6630859375,2465.28076171875,8272.828125,-10999.4609375,13598.0,13598.0,96.71408250355618,0,0.0,0,0.0,0.7101900577545166,0.5942681431770325,0.3515568971633911,0.0,0.04615585878491402,0.5194635391235352,0.32004618644714355,0.00026453792816028,0.00011043198173865676,0.0008428554865531623,0.0011625946499407291,23.8546142578125,32.98306655883789,0.013244232162833214,0.015348275192081928
big_19_21,G81,200,1.0445282459259033,0.9573699831962585,0.9004502296447754,-22102.90234375,-22104.9453125,4664.7509765625,4707.1416015625,6507.7822265625,-10642.630859375,13670.0,13674.0,97.25462304409673,0,0.0,0,0.0,0.7956742644309998,0.5909616947174072,0.4939720630645752,0.0,0.030994530767202377,0.1648850291967392,0.037170082330703735,8.855918713379651e-05,1.0350250704505015e-05,0.0006018625572323799,0.001466721179895103,12.53184986114502,4.284079551696777,0.006737580522894859,0.0021268383134156466
big_19_21,G81,250,1.0155152082443237,0.984721839427948,0.8754377365112305,-21682.29296875,-21682.73828125,5659.19384765625,5703.8857421875,5788.4873046875,-10145.2490234375,13690.0,13690.0,97.36842105263158,0,0.0,0,0.0,0.8250386714935303,0.5794386267662048,0.5485641956329346,0.0,0.027714451774954796,0.07576238363981247,0.005816414952278137,4.132273170398548e-05,1.549822172819404e-06,0.0005908338353037834,0.0012770764296874404,5.955899238586426,1.7834442853927612,0.0032736053690314293,0.0009155111038126051
big_19_21,G81,300,0.9865021705627441,1.01368248462677,0.8504252433776855,-21249.037109375,-21249.267578125,6280.35498046875,6325.552734375,5392.1943359375,-9649.5,13698.0,13698.0,97.42532005689901,0,0.0,0,0.0,0.8403014540672302,0.5673338770866394,0.5814601182937622,0.0,0.02617851458489895,0.0533868633210659,0.006049862131476402,2.947733082692139e-05,1.5808614080015104e-06,0.0008682546322233975,0.0013173543848097324,4.348499298095703,1.6572232246398926,0.002415355294942856,0.0007836983422748744
big_19_21,G81,350,0.9574891924858093,1.0443981885910034,0.8254126906394958,-20826.37109375,-20826.548828125,6802.4091796875,6847.81689453125,5077.4375,-9162.548828125,13706.0,13706.0,97.48221906116643,0,0.0,0,0.0,0.8520176410675049,0.5550283789634705,0.6084058284759521,0.0,0.025227343663573265,0.04564712569117546,0.005923542659729719,2.5463628844590858e-05,1.7566769656696124e-06,0.00046034445404075086,0.0005557057447731495,3.971750020980835,1.588721752166748,0.0022278001997619867,0.0007389423553831875
big_19_21,G81,400,0.9284762144088745,1.077033519744873,0.8004001975059509,-20417.060546875,-20417.22265625,7284.6787109375,7330.3818359375,4789.48388671875,-8685.623046875,13712.0,13712.0,97.52489331436699,0,0.0,0,0.0,0.8624235987663269,0.5425799489021301,0.632664144039154,0.0,0.02463046833872795,0.04188148304820061,0.006555128376930952,2.3500771931139752e-05,1.9679641809489112e-06,0.0007286653271876276,0.0010608530137687922,3.915072441101074,1.622944951057434,0.0022089332342147827,0.0007265446474775672
big_19_21,G81,450,0.8994631767272949,1.111774206161499,0.775387704372406,-20021.5546875,-20021.7109375,7741.171875,7787.1318359375,4515.564453125,-8218.953125,13720.0,13720.0,97.58179231863443,0,0.0,0,0.0,0.8720354437828064,0.5299899578094482,0.6550722718238831,0.0,0.024473046883940697,0.039459556341171265,0.007216541096568108,2.225118259957526e-05,2.314675157322199e-06,0.00044978156802244484,0.0008094483055174351,3.954447031021118,1.668691873550415,0.0022404936607927084,0.0007382831536233425
big_19_21,G81,500,0.8704501390457153,1.1488308906555176,0.7503751516342163,-19639.87109375,-19640.01953125,8175.716796875,8221.958984375,4252.3994140625,-7762.802734375,13722.0,13722.0,97.59601706970128,0,0.0,0,0.0,0.8810057640075684,0.5172613859176636,0.6759495139122009,0.0,0.024477344006299973,0.03771698474884033,0.007721637841314077,2.133858833985869e-05,2.5843496587185655e-06,0.0007013935246504843,0.0004057786427438259,4.0286545753479,1.7348549365997314,0.002290979726240039,0.0007485488313250244
big_19_21,G81,550,0.8414371609687805,1.1884428262710571,0.7253626585006714,-19271.921875,-19272.0703125,8589.615234375,8636.115234375,3999.1572265625,-7317.4150390625,13732.0,13732.0,97.66714082503556,0,0.0,0,0.0,0.8893961906433105,0.5043969750404358,0.6954631805419922,0.0,0.024714453145861626,0.03628721460700035,0.008179636672139168,2.0619021597667597e-05,2.8036358798999572e-06,0.00018689942953642458,0.0002940678969025612,4.118838787078857,1.7692437171936035,0.0023506036959588528,0.0007585828425362706
big_19_21,G81,600,0.8124241828918457,1.230884075164795,0.7003501653671265,-18917.5625,-18917.70703125,8983.41796875,9030.275390625,3755.719970703125,-6883.0517578125,13736.0,13736.0,97.69559032716927,0,0.0,0,0.0,0.8972411751747131,0.4914007782936096,0.7137271165847778,0.0,0.024974217638373375,0.0351790152490139,0.00855346117168665,2.00339582079323e-05,2.9572843232017476e-06,0.0006932903779670596,0.0006752649787813425,4.221684455871582,1.806612491607666,0.002415972063317895,0.0007629180909134448
big_19_21,G81,650,0.7834111452102661,1.2764689922332764,0.6753376722335815,-18576.62109375,-18576.767578125,9357.4326171875,9404.79296875,3522.251953125,-6459.962890625,13736.0,13736.0,97.69559032716927,0,0.0,0,0.0,0.9045621752738953,0.47827649116516113,0.730816662311554,0.0,0.025437109172344208,0.03415071591734886,0.008799477480351925,1.953192986547947e-05,3.0834885365038645e-06,0.0002801630471367389,0.00045750592835247517,4.327016830444336,1.814725637435913,0.0024841667618602514,0.0007668481557630002
big_19_21,G81,700,0.7543981075286865,1.3255600929260254,0.6503251791000366,-18248.87890625,-18249.025390625,9711.9189453125,9759.814453125,3298.99560546875,-6048.3515625,13736.0,13736.0,97.69559032716927,0,0.0,0,0.0,0.9113766551017761,0.4650251865386963,0.7468121647834778,0.0,0.025821484625339508,0.033320169895887375,0.008969268761575222,1.9102879377896897e-05,3.1540560030407505e-06,0.0006637903861701488,0.0003426414914429188,4.438285827636719,1.827393889427185,0.002555007580667734,0.0007658243994228542
big_19_21,G81,750,0.7253851294517517,1.3785780668258667,0.6253126859664917,-17934.1328125,-17934.27734375,10047.212890625,10095.6103515625,3086.12158203125,-5648.43701171875,13736.0,13736.0,97.69559032716927,0,0.0,0,0.0,0.9177044630050659,0.451649010181427,0.7617827653884888,0.0,0.02623906172811985,0.032493706792593,0.009136396460235119,1.8715867554419674e-05,3.229300546081504e-06,0.00021586190268862993,0.00035341817419975996,4.546018123626709,1.8228378295898438,0.0026269000954926014,0.0007668451871722937
big_19_21,G81,800,0.6963721513748169,1.4360138177871704,0.600300133228302,-17632.13671875,-17632.28125,10363.7255859375,10412.6455078125,2883.827880859375,-5260.33935546875,13736.0,13736.0,97.69559032716927,0,0.0,0,0.0,0.9235625863075256,0.43814247846603394,0.7757956385612488,0.0,0.026865234598517418,0.03178836405277252,0.009272610768675804,1.837080708355643e-05,3.2757557164586615e-06,0.0003867613268084824,0.0004789169179275632,4.657525539398193,1.831729531288147,0.0027001311536878347,0.000767091172747314
big_19_21,G81,850,0.6673591136932373,1.498443603515625,0.5752876400947571,-17342.671875,-17342.8203125,10662.0048828125,10711.4794921875,2692.115234375,-4884.2060546875,13736.0,13736.0,97.69559032716927,0,0.0,0,0.0,0.928974986076355,0.4245011508464813,0.7889195084571838,0.0,0.027590233832597733,0.03110385686159134,0.009288672357797623,1.804729072318878e-05,3.287931804152322e-06,0.0001491744042141363,0.000292142853140831,4.767754554748535,1.8177286386489868,0.0027733282186090946,0.0007625988801009953
big_19_21,G81,900,0.6383461356163025,1.566548228263855,0.5502750873565674,-17065.484375,-17065.6328125,10942.5439453125,10992.5771484375,2511.025390625,-4520.1845703125,13736.0,13736.0,97.69559032716927,0,0.0,0,0.0,0.9339619874954224,0.4107204079627991,0.8012198805809021,0.018455859273672104,0.028286326676607132,0.030453212559223175,0.009295159950852394,1.7734922948875464e-05,3.285298134869663e-06,7.976106280693784e-05,7.21001997590065e-05,4.875163555145264,1.8056594133377075,0.002845034236088395,0.0007572355098091066
big_19_21,G81,950,0.6093330979347229,1.6411384344100952,0.5252625942230225,-16800.3359375,-16800.484375,11205.880859375,11256.380859375,2340.548828125,-4168.42822265625,13736.0,13736.0,97.69559032716927,0,0.0,0,0.0,0.9385442137718201,0.3967946767807007,0.8127492070198059,0.1702609360218048,0.02924257703125477,0.029817312955856323,0.009394507855176926,1.742688073136378e-05,3.3180795071530156e-06,0.0001044079617713578,7.445341907441616e-05,4.978705406188965,1.8104320764541626,0.0029145011212676764,0.0007585203857161105
big_19_21,G81,1000,0.5803201198577881,1.7231868505477905,0.5002501010894775,-16546.982421875,-16547.12890625,11452.5556640625,11503.568359375,2180.65478515625,-3829.094482421875,13736.0,13736.0,97.69559032716927,0,0.0,0,0.0,0.9427417516708374,0.3827179968357086,0.8235487937927246,0.2982593774795532,0.030304687097668648,0.029186910018324852,0.009428831748664379,1.711582808638923e-05,3.3120657008112175e-06,0.00019174900080543011,7.523386739194393e-05,5.077480316162109,1.802229642868042,0.002980767982080579,0.0007542128441855311
big_19_21,G81,1050,0.5513070821762085,1.813871145248413,0.4752376079559326,-16305.177734375,-16305.322265625,11683.08984375,11734.6328125,2031.300048828125,-3502.361572265625,13736.0,13736.0,97.69559032716927,0,0.0,0,0.0,0.9465734362602234,0.36848530173301697,0.8336589336395264,0.3416730463504791,0.0309539046138525,0.028552578762173653,0.009386766701936722,1.6796493582660332e-05,3.286166702309856e-06,0.00011936728697037324,7.312255911529064e-05,5.169498920440674,1.785951852798462,0.003042749362066388,0.0007477868930436671
big_19_21,G81,1100,0.5222941040992737,1.9146300554275513,0.4502251148223877,-16074.68359375,-16074.8291015625,11898.041015625,11950.126953125,1892.40087890625,-3188.3974609375,13736.0,13736.0,97.69559032716927,0,0.0,0,0.0,0.9500584006309509,0.35408926010131836,0.8431153893470764,0.39706405997276306,0.031571485102176666,0.027937499806284904,0.009527181275188923,1.6465201042592525e-05,3.285266757302452e-06,0.0005555414827540517,0.0012929356889799237,5.256662368774414,1.792338490486145,0.0030996715649962425,0.0007462984067387879
big_19_21,G81,1150,0.4932810664176941,2.0272417068481445,0.425212562084198,-15855.2607421875,-15855.4033203125,12097.9267578125,12150.572265625,1763.8385009765625,-2887.40869140625,13736.0,13736.0,97.69559032716927,0,0.0,0,0.0,0.9532160758972168,0.3395252823829651,0.8519560098648071,0.4398527145385742,0.032255467027425766,0.027258004993200302,0.009393519721925259,1.6113104720716365e-05,3.245286507080891e-06,0.00033720763167366385,0.00025756482500582933,5.331051349639893,1.773946762084961,0.0031497550662606955,0.0007378545706160367
big_19_21,G81,1200,0.4642680883407593,2.15392804145813,0.4002000689506531,-15646.6728515625,-15646.814453125,12283.2841796875,12336.4521484375,1645.45263671875,-2599.5986328125,13736.0,13736.0,97.69559032716927,0,0.0,0,0.0,0.9560672640800476,0.32478734850883484,0.8602151870727539,0.5345078110694885,0.032826170325279236,0.02658410370349884,0.009434231556952,1.574165071360767e-05,3.2436707897431916e-06,0.00022423802874982357,0.0002920811530202627,5.397243976593018,1.7614809274673462,0.0031925623770803213,0.0007368171936832368
big_19_21,G81,1250,0.4352550506591797,2.2975034713745117,0.37518757581710815,-15448.685546875,-15448.8251953125,12454.638671875,12508.283203125,1537.0015869140625,-2325.19921875,13736.0,13736.0,97.69559032716927,0,0.0,0,0.0,0.958633303642273,0.30987152457237244,0.8679210543632507,0.5570034980773926,0.03333164006471634,0.025884540751576424,0.009435035288333893,1.5345918654929847e-05,3.2217062653217e-06,0.00021897877741139382,7.332372479140759e-05,5.451272010803223,1.7509933710098267,0.0032266532070934772,0.0007324418984353542
big_19_21,G81,1300,0.4062420725822449,2.4615864753723145,0.35017526149749756,-15261.0859375,-15261.22265625,12612.548828125,12666.60546875,1438.143798828125,-2064.439208984375,13736.0,13736.0,97.69559032716927,0,0.0,0,0.0,0.9609372615814209,0.29477229714393616,0.8751013278961182,0.5835214853286743,0.03393242135643959,0.025158224627375603,0.009476049803197384,1.4925301002222113e-05,3.206315568604623e-06,0.00015963392797857523,8.059386163949966e-05,5.492040157318115,1.7484229803085327,0.0032513015903532505,0.0007301010191440582
big_19_21,G81,1350,0.3772290349006653,2.650909423828125,0.3251709043979645,-15083.705078125,-15083.837890625,12757.5419921875,12811.984375,1348.39794921875,-1817.641357421875,13736.0,13736.0,97.69559032716927,0,0.0,0,0.0,0.9630037546157837,0.2794901430606842,0.8817744851112366,0.6122050881385803,0.03515546768903732,0.02439408004283905,0.009484090842306614,1.4480137906502932e-05,3.178190354446997e-06,0.0002603221801109612,7.239007391035557e-05,5.5163187980651855,1.739230751991272,0.003265772247686982,0.0007254447555169463
big_19_21,G81,1400,0.34821605682373047,2.8717801570892334,0.3003411889076233,-14917.2265625,-14917.3544921875,12889.5234375,12944.310546875,1266.98779296875,-1586.645263671875,13736.0,13736.0,97.69559032716927,0,0.0,0,0.0,0.964866578578949,0.2641404867172241,0.8879244923591614,0.6293320059776306,0.03848202899098396,0.023606138303875923,0.00960806105285883,1.4027149518369697e-05,3.191998530382989e-06,0.0001424229412805289,8.241040632128716e-05,5.525343894958496,1.748161792755127,0.003272279165685177,0.0007256708922795951
big_19_21,G81,1450,0.3192030191421509,3.1328024864196777,0.277316153049469,-14769.4677734375,-14769.5927734375,13003.2275390625,13058.314453125,1190.94970703125,-1386.209716796875,13736.0,13736.0,97.69559032716927,0,0.0,0,0.0,0.9666644334793091,0.24993307888507843,0.8932796716690063,0.8148987889289856,0.0410398431122303,0.022873440757393837,0.009883861988782883,1.3711748579225969e-05,3.2632879083394073e-06,0.0001538153737783432,8.18085391074419e-05,5.53372859954834,1.7668606042861938,0.0032977950759232044,0.0007130051380954683
big_19_21,G81,1500,0.29019004106521606,3.4460177421569824,0.2625235319137573,-14669.6171875,-14669.744140625,13078.767578125,13134.013671875,1106.943115234375,-1269.7530517578125,13736.0,13736.0,97.69559032716927,0,0.0,0,0.0,0.9690586924552917,0.24183601140975952,0.8968837857246399,0.8541792631149292,0.042271483689546585,0.02267489954829216,0.01067379117012024,1.3931557077739853e-05,3.6047583762410795e-06,0.00017792578728403896,7.804506458342075e-05,5.6396098136901855,1.894303321838379,0.0034405982587486506,0.00071312504587695
big_19_21,G81,1550,0.26117706298828125,3.82882022857666,0.26034680008888245,-14635.171875,-14635.3115234375,13107.240234375,13162.53515625,991.67041015625,-1269.0699462890625,13736.0,13736.0,97.69559032716927,0,0.0,0,0.0,0.9731127619743347,0.24372680485248566,0.898362398147583,0.856428861618042,0.04285702854394913,0.023243935778737068,0.011724106036126614,1.426865128451027e-05,4.156971954216715e-06,6.86790663166903e-05,7.796240970492363e-05,5.995187282562256,2.151961326599121,0.003666905453428626,0.0008075532969087362
big_19_21,G81,1600,0.23216402530670166,4.307299613952637,0.25009971857070923,-14565.14453125,-14565.267578125,13161.783203125,13217.091796875,866.6167602539062,-1202.286865234375,13736.0,13736.0,97.69559032716927,0,0.0,0,0.0,0.9775418639183044,0.24036149680614471,0.9011065363883972,0.8588737845420837,0.04349609091877937,0.021328341215848923,0.010043587535619736,1.3022032362641767e-05,3.5095304156129714e-06,4.39548930444289e-05,8.633022662252188e-05,5.811375617980957,1.907856822013855,0.0035400977358222008,0.0008013988262973726
