graph_name,optimizer,grad_type,outer_rep,step,global_step,beta,gamma,free_energy_mean,free_energy_min,free_energy_max,expected_cut_mean,expected_cut_max,expected_cut_min,hard_cut_mean,hard_cut_max,hard_cut_min,best_cut_so_far,best_known_cut,gap_so_far,gap_percent_so_far,accuracy_percent_so_far,best_replica_in_batch,best_replica_so_far,best_outer_rep_so_far,best_step_so_far,entropy_mean,entropy_min,entropy_max,R_mean,R_min,R_max,rx_abs_mean,rz_abs_mean,grad_norm_before_clip,grad_norm_after_clip,rep_elapsed_sec,elapsed_sec
G19,adam,auto,0,0,0,2.0,1.0,-228.7388458251953,-228.74002075195312,-228.7374267578125,-56.5,-56.5,-56.5,-71.70359802246094,60.0,-201.0,60.0,906.0,846.0,93.37748344370861,6.622516556291391,4139,4139,0,0,554.4769287109375,554.4769287109375,554.4769287109375,0.010099497623741627,0.010047965683043003,0.010151270776987076,0.010099136270582676,8.469787280773744e-05,27.861465454101562,1.0,0.17050909996032715,0.17051219940185547
G19,adam,auto,0,1,1,2.0010008811950684,0.9995002746582031,-228.675048828125,-228.67625427246094,-228.673583984375,-56.5,-56.5,-56.5,-71.76629638671875,56.0,-216.0,60.0,906.0,846.0,93.37748344370861,6.622516556291391,4322,4139,0,0,554.47607421875,554.47607421875,554.4761352539062,0.010199961252510548,0.010147921741008759,0.010252243839204311,0.010199939832091331,1.959903420356568e-05,28.120376586914062,0.9999999403953552,0.37232327461242676,0.37232518196105957
G19,adam,auto,0,2,2,2.002002716064453,0.9990004897117615,-228.6125030517578,-228.6136932373047,-228.61099243164062,-56.5,-56.5,-56.5,-72.489501953125,56.0,-201.0,60.0,906.0,846.0,93.37748344370861,6.622516556291391,7042,4139,0,0,554.4752197265625,554.4752197265625,554.475341796875,0.01030141394585371,0.010248863138258457,0.010354211553931236,0.010301308706402779,4.631398769561201e-05,28.381561279296875,0.9999999403953552,0.5667562484741211,0.5667581558227539
G19,adam,auto,0,3,3,2.0030055046081543,0.9985007643699646,-228.55035400390625,-228.55152893066406,-228.54885864257812,-56.5,-56.5,-56.5,-72.55470275878906,71.0,-212.0,71.0,906.0,835.0,92.16335540838853,7.836644591611479,7042,7042,0,3,554.4744262695312,554.474365234375,554.4744873046875,0.01040386501699686,0.010350796394050121,0.010457182303071022,0.01040364895015955,6.644528184551746e-05,28.645126342773438,0.9999998807907104,0.7621681690216064,0.7621700763702393
G19,adam,auto,0,4,4,2.004009485244751,0.998000979423523,-228.48880004882812,-228.49000549316406,-228.4873046875,-56.5,-56.5,-56.5,-72.65760040283203,74.0,-220.0,74.0,906.0,832.0,91.83222958057395,8.167770419426049,7042,7042,0,4,554.4735107421875,554.4735107421875,554.4736328125,0.01050732471048832,0.010453733615577221,0.01056116633117199,0.010507197119295597,5.1018960220972076e-05,28.911056518554688,0.9999999403953552,0.9551591873168945,0.9551610946655273
G19,adam,auto,0,5,5,2.005014181137085,0.9975012540817261,-228.4281768798828,-228.42941284179688,-228.42669677734375,-56.5,-56.5,-56.5,-73.6438980102539,63.0,-195.0,74.0,906.0,832.0,91.83222958057395,8.167770419426049,4322,7042,0,4,554.47265625,554.47265625,554.47265625,0.010611801408231258,0.010557684116065502,0.010666172951459885,0.010611782781779766,1.9596804122556932e-05,29.179363250732422,0.9999998211860657,1.1439969539642334,1.1440000534057617
G19,adam,auto,0,6,6,2.0060200691223145,0.9970015287399292,-228.36830139160156,-228.36953735351562,-228.3667449951172,-56.5,-56.5,-56.5,-75.247802734375,69.0,-212.0,74.0,906.0,832.0,91.83222958057395,8.167770419426049,7042,7042,0,4,554.4718017578125,554.4718017578125,554.4718017578125,0.010717306286096573,0.010662656277418137,0.010772212408483028,0.01071728765964508,1.8838343748939224e-05,29.4500732421875,0.9999999403953552,1.3552401065826416,1.3552420139312744
G19,adam,auto,0,7,7,2.0070269107818604,0.9965017437934875,-228.30909729003906,-228.31036376953125,-228.30752563476562,-56.5,-56.5,-56.5,-74.1084976196289,58.0,-216.0,74.0,906.0,832.0,91.83222958057395,8.167770419426049,7042,7042,0,4,554.4708251953125,554.4708251953125,554.4708251953125,0.010823848657310009,0.01076866127550602,0.010879294946789742,0.01082376018166542,4.3504151108209044e-05,29.723215103149414,0.9999998807907104,1.5431082248687744,1.5431110858917236
G19,adam,auto,0,8,8,2.0080349445343018,0.9960020184516907,-228.25050354003906,-228.2517547607422,-228.2489013671875,-56.5,-56.5,-56.5,-74.3595962524414,70.0,-220.0,74.0,906.0,832.0,91.83222958057395,8.167770419426049,7042,7042,0,4,554.469970703125,554.4698486328125,554.469970703125,0.010931437835097313,0.010875708423554897,0.010987428948283195,0.010931323282420635,4.9550228141015396e-05,29.998811721801758,0.9999998807907104,1.7366220951080322,1.736624002456665
G19,adam,auto,0,9,9,2.0090436935424805,0.995502233505249,-228.19271850585938,-228.1939697265625,-228.19113159179688,-56.5,-56.5,-56.5,-73.32389831542969,52.0,-212.0,74.0,906.0,832.0,91.83222958057395,8.167770419426049,1582,7042,0,4,554.468994140625,554.468994140625,554.468994140625,0.011040085926651955,0.010983807034790516,0.01109662652015686,0.011040013283491135,3.868748535751365e-05,30.27686882019043,0.9999999403953552,1.9263551235198975,1.9263570308685303
G19,adam,auto,0,10,10,2.0100536346435547,0.9950025081634521,-228.13575744628906,-228.1370391845703,-228.13412475585938,-56.5,-56.5,-56.5,-61.08190155029297,71.0,-183.0,74.0,906.0,832.0,91.83222958057395,8.167770419426049,2486,7042,0,4,554.468017578125,554.468017578125,554.468017578125,0.011149800382554531,0.01109297014772892,0.011206896975636482,0.011149784550070763,1.80194965651026e-05,30.557409286499023,0.9999999403953552,2.117356061935425,2.1173579692840576
