graph_name,optimizer,grad_type,outer_rep,step,global_step,beta,gamma,free_energy_mean,free_energy_min,free_energy_max,expected_cut_mean,expected_cut_max,expected_cut_min,hard_cut_mean,hard_cut_max,hard_cut_min,best_cut_so_far,best_known_cut,gap_so_far,gap_percent_so_far,accuracy_percent_so_far,best_replica_in_batch,best_replica_so_far,best_outer_rep_so_far,best_step_so_far,entropy_mean,entropy_min,entropy_max,R_mean,R_min,R_max,rx_abs_mean,rz_abs_mean,grad_norm_before_clip,grad_norm_after_clip,rep_elapsed_sec,elapsed_sec
G3,adam,auto,0,0,0,2.0,1.0,-9873.23828125,-9873.240234375,-9873.23828125,9588.0,9588.0,9588.0,9527.08203125,9821.0,9254.0,9821.0,11622.0,1801.0,15.496472207881604,84.50352779211839,8126,8126,0,0,554.4769287109375,554.4769287109375,554.4769287109375,0.010099497623741627,0.010047965683043003,0.010151270776987076,0.010099136270582676,8.470173634123057e-05,27.861465454101562,0.9999999403953552,0.18709325790405273,0.18709492683410645
G3,adam,auto,0,1,1,2.0010008811950684,0.9995002746582031,-9873.17578125,-9873.17578125,-9873.173828125,9588.0,9588.0,9588.0,9525.310546875,9798.0,9215.0,9821.0,11622.0,1801.0,15.496472207881604,84.50352779211839,7682,8126,0,0,554.47607421875,554.47607421875,554.4761352539062,0.010199961252510548,0.010147921741008759,0.010252243839204311,0.010199940763413906,1.9602995962486602e-05,28.120376586914062,1.0,0.5059769153594971,0.505979061126709
G3,adam,auto,0,2,2,2.002002716064453,0.9990004897117615,-9873.11328125,-9873.1142578125,-9873.111328125,9588.0,9588.0,9588.0,9523.498046875,9821.0,9254.0,9821.0,11622.0,1801.0,15.496472207881604,84.50352779211839,8126,8126,0,0,554.4752197265625,554.4752197265625,554.475341796875,0.01030141394585371,0.010248863138258457,0.010354211553931236,0.010301308706402779,4.631032788893208e-05,28.381561279296875,0.9999999403953552,0.7374370098114014,0.7374391555786133
G3,adam,auto,0,3,3,2.0030055046081543,0.9985007643699646,-9873.05078125,-9873.05078125,-9873.048828125,9588.0,9588.0,9588.0,9522.111328125,9828.0,9215.0,9828.0,11622.0,1794.0,15.436241610738255,84.56375838926175,8126,8126,0,3,554.4744262695312,554.474365234375,554.4744873046875,0.01040386501699686,0.010350796394050121,0.010457182303071022,0.01040364895015955,6.644692621193826e-05,28.645126342773438,0.9999998807907104,0.9620001316070557,0.9620010852813721
G3,adam,auto,0,4,4,2.004009485244751,0.998000979423523,-9872.9892578125,-9872.990234375,-9872.9873046875,9588.0,9588.0,9588.0,9522.0869140625,9801.0,9250.0,9828.0,11622.0,1794.0,15.436241610738255,84.56375838926175,8126,8126,0,3,554.4735107421875,554.4735107421875,554.4736328125,0.01050732471048832,0.010453733615577221,0.01056116633117199,0.010507197119295597,5.101657006889582e-05,28.911060333251953,0.9999998807907104,1.147852897644043,1.1478538513183594
G3,adam,auto,0,5,5,2.005014181137085,0.9975012540817261,-9872.927734375,-9872.9287109375,-9872.9267578125,9588.0,9588.0,9588.0,9518.4638671875,9789.0,9228.0,9828.0,11622.0,1794.0,15.436241610738255,84.56375838926175,8516,8126,0,3,554.47265625,554.47265625,554.47265625,0.010611801408231258,0.010557684116065502,0.010666172951459885,0.010611781850457191,1.9587874703574926e-05,29.179363250732422,1.0,1.3628971576690674,1.3628981113433838
G3,adam,auto,0,6,6,2.0060200691223145,0.9970015287399292,-9872.869140625,-9872.869140625,-9872.8671875,9588.0,9588.0,9588.0,9508.1103515625,9823.0,9172.0,9828.0,11622.0,1794.0,15.436241610738255,84.56375838926175,8126,8126,0,3,554.4718017578125,554.4718017578125,554.4718017578125,0.010717306286096573,0.010662656277418137,0.010772212408483028,0.010717286728322506,1.8837883544620126e-05,29.4500732421875,0.9999999403953552,1.5914621353149414,1.5914640426635742
G3,adam,auto,0,7,7,2.0070269107818604,0.9965017437934875,-9872.80859375,-9872.810546875,-9872.8076171875,9588.0,9588.0,9588.0,9515.4580078125,9826.0,9229.0,9828.0,11622.0,1794.0,15.436241610738255,84.56375838926175,8126,8126,0,3,554.4708251953125,554.4708251953125,554.4708251953125,0.010823848657310009,0.01076866127550602,0.010879294946789742,0.01082376018166542,4.348823495092802e-05,29.723215103149414,0.9999998807907104,1.8015310764312744,1.8015329837799072
G3,adam,auto,0,8,8,2.0080349445343018,0.9960020184516907,-9872.75,-9872.751953125,-9872.7490234375,9588.0,9588.0,9588.0,9515.431640625,9786.0,9229.0,9828.0,11622.0,1794.0,15.436241610738255,84.56375838926175,8126,8126,0,3,554.469970703125,554.4698486328125,554.469970703125,0.010931437835097313,0.010875708423554897,0.010987428948283195,0.010931323282420635,4.952731978846714e-05,29.998811721801758,0.9999998807907104,2.020673990249634,2.0206758975982666
G3,adam,auto,0,9,9,2.0090436935424805,0.995502233505249,-9872.693359375,-9872.6943359375,-9872.69140625,9588.0,9588.0,9588.0,9526.28125,9790.0,9242.0,9828.0,11622.0,1794.0,15.436241610738255,84.56375838926175,7682,8126,0,3,554.468994140625,554.468994140625,554.468994140625,0.011040085926651955,0.010983807034790516,0.01109662652015686,0.01104001421481371,3.867864143103361e-05,30.27686882019043,0.9999999403953552,2.263612985610962,2.2636139392852783
G3,adam,auto,0,10,10,2.0100536346435547,0.9950025081634521,-9872.634765625,-9872.63671875,-9872.6337890625,9588.0,9588.0,9588.0,9562.6494140625,9844.0,9290.0,9844.0,11622.0,1778.0,15.298571674410601,84.7014283255894,8516,8516,0,10,554.468017578125,554.468017578125,554.468017578125,0.011149800382554531,0.01109297014772892,0.011206896975636482,0.011149783618748188,1.8054348402074538e-05,30.557409286499023,1.0,2.497560977935791,2.4975640773773193
G3,adam,auto,0,11,11,2.0110645294189453,0.9945027232170105,-9872.580078125,-9872.5810546875,-9872.578125,9588.0,9588.0,9588.0,9506.705078125,9808.0,9180.0,9844.0,11622.0,1778.0,15.298571674410601,84.7014283255894,8126,8516,0,10,554.4669799804688,554.4669189453125,554.467041015625,0.011260592378675938,0.011203204281628132,0.011318249627947807,0.011260585859417915,9.656616384745575e-06,30.840456008911133,1.0,2.78006911277771,2.7800710201263428
G3,adam,auto,0,12,12,2.0120766162872314,0.9940029978752136,-9872.5234375,-9872.525390625,-9872.5224609375,9588.0,9588.0,9588.0,9508.5068359375,9776.0,9208.0,9844.0,11622.0,1778.0,15.298571674410601,84.7014283255894,8126,8516,0,10,554.4658813476562,554.4659423828125,554.466064453125,0.011372474953532219,0.011314521543681622,0.01143069751560688,0.011372435837984085,2.9397857360891066e-05,31.126035690307617,0.9999999403953552,2.999511957168579,2.999513864517212
