instance,nodes,edges,mode,gamma_mode,gamma_max,gamma_min,n_steps,replicas,seed,lr,beta_min,beta_max,best_cut,best_value,gap,percent_accuracy,best_step,best_replica,runtime_sec,vanilla_cut,vanilla_gap,vanilla_percent_accuracy,vanilla_runtime_sec,delta_cut_vs_vanilla,delta_gap_vs_vanilla,delta_accuracy_vs_vanilla,runtime_ratio_vs_vanilla,history_path,summary_path
G35,2000,11778,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,7612.0,7687,75.0,99.02432678548199,458,121,29.317037105560303,7523.0,164.0,97.86652790425391,8.681002140045166,89.0,89.0,1.157798881228075,3.377148931955887,qefem_v1_outputs/G35_qefem_anneal_history.csv,qefem_v1_outputs/G35_qefem_anneal_summary.csv
G36,2000,11766,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,7599.0,7680,81.0,98.9453125,557,27,29.132176876068115,7515.0,165.0,97.8515625,8.722572088241577,84.0,84.0,1.09375,3.339860832487657,qefem_v1_outputs/G36_qefem_anneal_history.csv,qefem_v1_outputs/G36_qefem_anneal_summary.csv
G37,2000,11785,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,7619.0,7691,72.0,99.063840852945,644,17,29.59231209754944,7520.0,171.0,97.77662202574436,8.150532960891724,99.0,99.0,1.2872188272006468,3.6307211122929854,qefem_v1_outputs/G37_qefem_anneal_history.csv,qefem_v1_outputs/G37_qefem_anneal_summary.csv
G38,2000,11779,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,7616.0,7688,72.0,99.06347554630594,424,113,29.74016523361206,7514.0,174.0,97.73673257023934,8.672926902770996,102.0,102.0,1.3267429760665976,3.4290805822553505,qefem_v1_outputs/G38_qefem_anneal_history.csv,qefem_v1_outputs/G38_qefem_anneal_summary.csv
G39,2000,11778,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,2336.0,2408,72.0,97.00996677740864,419,122,29.883690118789673,2188.0,220.0,90.86378737541528,8.836483001708984,148.0,148.0,6.146179401993351,3.3818534040081487,qefem_v1_outputs/G39_qefem_anneal_history.csv,qefem_v1_outputs/G39_qefem_anneal_summary.csv
G40,2000,11766,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,2296.0,2400,104.0,95.66666666666667,446,17,29.288478136062622,2183.0,217.0,90.95833333333331,8.739481925964355,113.0,113.0,4.708333333333357,3.3512831062730064,qefem_v1_outputs/G40_qefem_anneal_history.csv,qefem_v1_outputs/G40_qefem_anneal_summary.csv
G41,2000,11785,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,2289.0,2405,116.0,95.17671517671518,475,10,27.716141939163208,2193.0,212.0,91.18503118503118,8.396402835845947,96.0,96.0,3.991683991683999,3.300954287333306,qefem_v1_outputs/G41_qefem_anneal_history.csv,qefem_v1_outputs/G41_qefem_anneal_summary.csv
G42,2000,11779,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,2381.0,2481,100.0,95.96936719064894,466,122,27.405642986297607,2273.0,208.0,91.61628375654978,8.13830304145813,108.0,108.0,4.353083434099162,3.367488633279914,qefem_v1_outputs/G42_qefem_anneal_history.csv,qefem_v1_outputs/G42_qefem_anneal_summary.csv
G43,1000,9990,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,6652.0,6660,8.0,99.87987987987988,479,59,21.302996397018433,6514.0,146.0,97.8078078078078,5.288885831832886,138.0,138.0,2.072072072072075,4.027879798198591,qefem_v1_outputs/G43_qefem_anneal_history.csv,qefem_v1_outputs/G43_qefem_anneal_summary.csv
G44,1000,9990,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,6638.0,6650,12.0,99.81954887218045,480,60,959.3305201530457,6495.0,155.0,97.66917293233082,4.969285011291504,143.0,143.0,2.1503759398496243,193.0520221668103,qefem_v1_outputs/G44_qefem_anneal_history.csv,qefem_v1_outputs/G44_qefem_anneal_summary.csv
G45,1000,9990,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,6633.0,6654,21.0,99.6844003606853,406,59,22.633643627166748,6503.0,151.0,97.7306883077848,5.010603189468384,130.0,130.0,1.9537120529004994,4.517149487059688,qefem_v1_outputs/G45_qefem_anneal_history.csv,qefem_v1_outputs/G45_qefem_anneal_summary.csv
G46,1000,9990,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,6627.0,6649,22.0,99.6691231764175,357,108,22.939234256744385,6492.0,157.0,97.6387426680704,5.081945896148682,135.0,135.0,2.0303805083470934,4.51386825549023,qefem_v1_outputs/G46_qefem_anneal_history.csv,qefem_v1_outputs/G46_qefem_anneal_summary.csv
G47,1000,9990,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,6638.0,6657,19.0,99.71458614991738,383,79,22.381256818771362,6522.0,135.0,97.97205948625506,5.081185817718506,116.0,116.0,1.7425266636623178,4.404731025723584,qefem_v1_outputs/G47_qefem_anneal_history.csv,qefem_v1_outputs/G47_qefem_anneal_summary.csv
G48,3000,6000,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,6000.0,6000,0.0,100.0,667,81,38.4353928565979,5468.0,532.0,91.13333333333333,8.409759998321533,532.0,532.0,8.866666666666674,4.570331717465071,qefem_v1_outputs/G48_qefem_anneal_history.csv,qefem_v1_outputs/G48_qefem_anneal_summary.csv
G49,3000,6000,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,6000.0,6000,0.0,100.0,629,126,35.40014123916626,5514.0,486.0,91.9,13.097512006759644,486.0,486.0,8.099999999999994,2.7028141849304053,qefem_v1_outputs/G49_qefem_anneal_history.csv,qefem_v1_outputs/G49_qefem_anneal_summary.csv
G50,3000,6000,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,5852.0,5880,28.0,99.52380952380952,386,50,16.29841113090515,5494.0,386.0,93.43537414965986,12.831797122955322,358.0,358.0,6.088435374149654,1.2701581060495621,qefem_v1_outputs/G50_qefem_anneal_history.csv,qefem_v1_outputs/G50_qefem_anneal_summary.csv
G51,1000,5909,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,3819.0,3848,29.0,99.24636174636174,496,107,21.42101287841797,3779.0,69.0,98.20686070686072,4.854330062866211,40.0,40.0,1.039501039501019,4.4127639861740375,qefem_v1_outputs/G51_qefem_anneal_history.csv,qefem_v1_outputs/G51_qefem_anneal_summary.csv
G52,1000,5916,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,3825.0,3851,26.0,99.32485068813295,582,96,21.412781715393066,3779.0,72.0,98.1303557517528,5.070261240005493,46.0,46.0,1.1944949363801527,4.223210738421413,qefem_v1_outputs/G52_qefem_anneal_history.csv,qefem_v1_outputs/G52_qefem_anneal_summary.csv
G53,1000,5914,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,3828.0,3850,22.0,99.42857142857143,468,27,20.958359003067017,3778.0,72.0,98.12987012987011,5.002832889556885,50.0,50.0,1.2987012987013173,4.18929823676828,qefem_v1_outputs/G53_qefem_anneal_history.csv,qefem_v1_outputs/G53_qefem_anneal_summary.csv
G54,1000,5916,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,3820.0,3852,32.0,99.16926272066459,463,21,21.49652671813965,3778.0,74.0,98.07892004153686,4.496581792831421,42.0,42.0,1.0903426791277298,4.7806373170860645,qefem_v1_outputs/G54_qefem_anneal_history.csv,qefem_v1_outputs/G54_qefem_anneal_summary.csv
