step,discrete_energy,gap,entropy
0,-2.0,1534.0,707.1798095703125
1,414.0,1950.0,701.6325073242188
2,626.0,2162.0,677.1159057617188
3,-462.0,1074.0,629.529296875
4,590.0,2126.0,565.0829467773438
5,564.0,2100.0,503.8078308105469
6,196.0,1732.0,457.88751220703125
7,-178.0,1358.0,429.5143737792969
8,488.0,2024.0,417.90277099609375
9,384.0,1920.0,421.92523193359375
10,50.0,1586.0,439.8482360839844
11,-148.0,1388.0,469.18170166015625
12,238.0,1774.0,506.887939453125
13,176.0,1712.0,548.961669921875
14,-202.0,1334.0,589.69580078125
15,70.0,1606.0,623.163818359375
16,140.0,1676.0,645.916748046875
17,-232.0,1304.0,656.9797973632812
18,-98.0,1438.0,656.8306884765625
19,-74.0,1462.0,647.1622314453125
20,-250.0,1286.0,629.91455078125
21,-120.0,1416.0,607.7158813476562
22,-150.0,1386.0,584.5264282226562
23,-226.0,1310.0,564.6387939453125
24,-242.0,1294.0,551.485107421875
25,-202.0,1334.0,546.9652709960938
26,-268.0,1268.0,551.1580810546875
27,-302.0,1234.0,562.4834594726562
28,-298.0,1238.0,578.1357421875
29,-292.0,1244.0,594.64013671875
30,-368.0,1168.0,608.5999755859375
31,-330.0,1206.0,617.3947143554688
32,-332.0,1204.0,619.707763671875
33,-316.0,1220.0,615.7759399414062
34,-360.0,1176.0,607.2034912109375
35,-350.0,1186.0,596.6201782226562
36,-216.0,1320.0,587.0294189453125
37,-266.0,1270.0,580.989990234375
38,-288.0,1248.0,579.9119873046875
39,-208.0,1328.0,583.6014404296875
40,-256.0,1280.0,590.4049072265625
41,-134.0,1402.0,597.80322265625
42,-158.0,1378.0,603.3016967773438
43,42.0,1578.0,605.25927734375
44,98.0,1634.0,603.44970703125
45,118.0,1654.0,599.0530395507812
46,130.0,1666.0,594.1507568359375
47,300.0,1836.0,590.8214111328125
48,238.0,1774.0,590.2844848632812
49,292.0,1828.0,592.4058227539062
50,376.0,1912.0,595.82373046875
51,488.0,2024.0,598.7193603515625
52,552.0,2088.0,599.7330322265625
53,598.0,2134.0,598.65185546875
54,636.0,2172.0,596.4130859375
55,606.0,2142.0,594.4873046875
56,572.0,2108.0,593.9591674804688
57,588.0,2124.0,594.91162109375
58,656.0,2192.0,596.4667358398438
59,724.0,2260.0,597.4846801757812
60,746.0,2282.0,597.377197265625
61,614.0,2150.0,596.4561157226562
62,688.0,2224.0,595.5872192382812
63,672.0,2208.0,595.4407348632812
64,620.0,2156.0,595.9710693359375
65,618.0,2154.0,596.5792236328125
66,702.0,2238.0,596.7230224609375
67,686.0,2222.0,596.3961181640625
68,674.0,2210.0,596.0359497070312
69,656.0,2192.0,595.9972534179688
70,548.0,2084.0,596.2267456054688
71,602.0,2138.0,596.410888671875
72,552.0,2088.0,596.3829345703125
73,572.0,2108.0,596.2459716796875
74,476.0,2012.0,596.175048828125
75,630.0,2166.0,596.229736328125
76,598.0,2134.0,596.3218994140625
77,578.0,2114.0,596.33349609375
78,666.0,2202.0,596.2514038085938
79,564.0,2100.0,596.2142333984375
80,632.0,2168.0,596.2911987304688
81,572.0,2108.0,596.3248291015625
82,494.0,2030.0,596.2569580078125
83,580.0,2116.0,596.2589111328125
84,588.0,2124.0,596.313720703125
85,512.0,2048.0,596.2753295898438
86,572.0,2108.0,596.277099609375
87,602.0,2138.0,596.300048828125
88,552.0,2088.0,596.255615234375
89,584.0,2120.0,596.3071899414062
90,542.0,2078.0,596.2864379882812
91,624.0,2160.0,596.253173828125
92,552.0,2088.0,596.334228515625
93,500.0,2036.0,596.2095947265625
94,548.0,2084.0,596.3447265625
95,654.0,2190.0,596.16455078125
96,610.0,2146.0,596.3743896484375
97,544.0,2080.0,596.1124877929688
98,566.0,2102.0,596.2324829101562
99,614.0,2150.0,596.4601440429688
100,590.0,2126.0,595.8687133789062
101,560.0,2096.0,596.52685546875
102,566.0,2102.0,596.1663818359375
103,588.0,2124.0,596.0604248046875
104,552.0,2088.0,596.4951171875
105,630.0,2166.0,596.0274047851562
106,580.0,2116.0,596.3331298828125
107,418.0,1954.0,596.29833984375
108,476.0,2012.0,596.1011352539062
109,540.0,2076.0,596.4423828125
110,562.0,2098.0,596.118896484375
111,514.0,2050.0,596.2779541015625
112,540.0,2076.0,596.3641967773438
113,506.0,2042.0,596.0829467773438
114,538.0,2074.0,596.4468994140625
115,580.0,2116.0,596.1409912109375
116,666.0,2202.0,596.2780151367188
117,522.0,2058.0,596.3782348632812
118,498.0,2034.0,596.0380859375
119,458.0,1994.0,596.5260009765625
120,552.0,2088.0,596.112060546875
121,556.0,2092.0,596.247314453125
122,344.0,1880.0,596.4544067382812
123,578.0,2114.0,596.0243530273438
124,524.0,2060.0,596.4682006835938
125,478.0,2014.0,596.177001953125
126,444.0,1980.0,596.2526245117188
127,484.0,2020.0,596.37353515625
128,368.0,1904.0,596.13134765625
129,386.0,1922.0,596.3870849609375
130,352.0,1888.0,596.190185546875
131,366.0,1902.0,596.2568359375
132,306.0,1842.0,596.3292236328125
133,268.0,1804.0,596.079833984375
134,336.0,1872.0,596.3753051757812
135,346.0,1882.0,596.0567626953125
136,158.0,1694.0,596.12646484375
137,114.0,1650.0,596.1422119140625
138,86.0,1622.0,595.7059326171875
139,70.0,1606.0,595.8477783203125
140,-38.0,1498.0,595.32861328125
141,-114.0,1422.0,594.9937744140625
142,-246.0,1290.0,594.87841796875
143,-308.0,1228.0,594.1981201171875
144,-416.0,1120.0,594.2135009765625
145,-492.0,1044.0,593.888427734375
146,-560.0,976.0,593.5487060546875
147,-706.0,830.0,593.4534301757812
148,-834.0,702.0,592.5282592773438
149,-838.0,698.0,592.0404052734375
150,-924.0,612.0,590.7495727539062
151,-1026.0,510.0,589.233154296875
152,-1102.0,434.0,587.6492309570312
153,-1114.0,422.0,585.4776000976562
154,-1162.0,374.0,583.5864868164062
155,-1184.0,352.0,581.64892578125
156,-1260.0,276.0,579.7603149414062
157,-1314.0,222.0,578.2308349609375
158,-1318.0,218.0,576.4315185546875
159,-1318.0,218.0,574.5511474609375
160,-1324.0,212.0,572.4425048828125
161,-1352.0,184.0,569.666259765625
162,-1360.0,176.0,566.92578125
163,-1362.0,174.0,563.8220825195312
164,-1400.0,136.0,560.6846923828125
165,-1446.0,90.0,558.327392578125
166,-1442.0,94.0,556.1871337890625
167,-1418.0,118.0,554.280029296875
168,-1420.0,116.0,552.9832153320312
169,-1412.0,124.0,551.9248657226562
170,-1420.0,116.0,550.1585083007812
171,-1422.0,114.0,548.8761596679688
172,-1428.0,108.0,547.1927490234375
173,-1438.0,98.0,544.5020141601562
174,-1420.0,116.0,542.450927734375
175,-1440.0,96.0,539.6702880859375
176,-1432.0,104.0,536.8167114257812
177,-1430.0,106.0,534.873291015625
178,-1432.0,104.0,532.7722778320312
179,-1440.0,96.0,531.3684692382812
180,-1436.0,100.0,530.0680541992188
181,-1440.0,96.0,528.828125
182,-1430.0,106.0,527.582275390625
183,-1438.0,98.0,526.0062866210938
