instance,N,edges,best_known_cut,vanilla_fem_best_cut,gap,accuracy,percent_accuracy,runtime_sec,best_replica,R,N_steps,beta_min,beta_max,schedule_kind,lr,seed,batch
G43,1000,9990,6660,6514.0,146.0,0.9780780780780781,97.8078078078078,5.288885831832886,15,128,1000,2.0,12500.0,linear,0.01,0,7
G44,1000,9990,6650,6495.0,155.0,0.9766917293233083,97.66917293233082,4.969285011291504,76,128,1000,2.0,12500.0,linear,0.01,0,7
G45,1000,9990,6654,6503.0,151.0,0.977306883077848,97.7306883077848,5.010603189468384,79,128,1000,2.0,12500.0,linear,0.01,0,7
G46,1000,9990,6649,6492.0,157.0,0.9763874266807039,97.63874266807039,5.081945896148682,97,128,1000,2.0,12500.0,linear,0.01,0,7
G47,1000,9990,6657,6522.0,135.0,0.9797205948625507,97.97205948625506,5.081185817718506,2,128,1000,2.0,12500.0,linear,0.01,0,7
