method,trial,seed,energy,cut,gap,relative_error,ground_hit,target_hit,best_replica,runtime_sec
qefem,0,2325779058,-182.52219102829815,,16.804603829330006,0.0843067979963904,False,,4147,82.36595429200679
lqa,0,2325779058,-180.6903655827754,,18.63642927485276,0.09349685920633038,False,,0,0.10773870800039731
qefem,1,3339867548,-183.1522016338968,,16.174593223731364,0.08114610599786287,False,,3964,78.00841241699527
lqa,1,3339867548,-180.1997319876043,,19.12706287002385,0.09595831249725162,False,,0,0.10500424998463131
qefem,2,2292573283,-182.51295626247634,,16.81383859515182,0.08435312777271782,False,,6585,68.84593662500265
lqa,2,2292573283,-179.50159102655965,,19.825203831068507,0.09946080678831426,False,,0,0.10577370799728669
qefem,3,3588162529,-182.59933046050347,,16.72746439712469,0.08391979818404499,False,,5062,69.24084058299195
lqa,3,3588162529,-180.76428227013474,,18.562512587493416,0.09312602754061208,False,,0,0.10356129199499264
qefem,4,1376761970,-182.52656851189022,,16.80022634573794,0.08428483665599362,False,,6790,77.10213745801593
lqa,4,1376761970,-178.99029284161207,,20.336502016016084,0.10202593199043662,False,,0,0.10759620802127756
