instance,N,edges,best_known_cut,vanilla_fem_best_cut,gap,accuracy,percent_accuracy,runtime_sec,best_replica,R,N_steps,beta_min,beta_max,schedule_kind,lr,seed,batch
G32,2000,4000,1410,1300.0,110.0,0.9219858156028369,92.19858156028369,9.140945196151733,7,128,1000,2.0,12500.0,linear,0.01,0,5
G33,2000,4000,1382,1266.0,116.0,0.9160636758321273,91.60636758321273,9.095096826553345,48,128,1000,2.0,12500.0,linear,0.01,0,5
G34,2000,4000,1384,1272.0,112.0,0.9190751445086706,91.90751445086705,9.529507160186768,38,128,1000,2.0,12500.0,linear,0.01,0,5
