gset# nodes# cut_value best_value gap %_accuracy tts_seconds
G22 2000 12995 13359 364 97.2752 9.4724
G23 2000 13020 13344 324 97.5719 9.4221
G24 2000 12987 13337 350 97.3757 9.5262
G25 2000 12977 13340 363 97.2789 9.2004
G26 2000 12987 13328 341 97.4415 8.9477
G27 2000 2989 3341 352 89.4642 9.2324
G28 2000 2956 3298 342 89.6301 9.3494
G29 2000 3042 3405 363 89.3392 9.8617
G30 2000 3045 3413 368 89.2177 8.9723
G31 2000 2969 3310 341 89.6979 9.1356
