method,trial,seed,energy,cut,gap,relative_error,ground_hit,target_hit,best_replica,runtime_sec
qefem,0,3289218920,-24.832099671786473,,,0.0074774707726643925,False,,3883,94.35017041699939
qefem,0,1011931291,-49.237429632844844,,,0.014755665166921688,False,,1187,102.25173291699866
qefem,0,2327127638,-73.32511036810428,,,0.025726649626098053,False,,156,94.35080629100048
qefem,0,319434431,-96.73116574022349,,,0.03719976569116648,False,,3386,104.45340774999931
qefem,0,1872603464,-119.19548401181231,,,0.04840954326138623,False,,4105,87.25707845799843
qefem,0,975242444,-140.98555999004518,,,0.06026863641639601,False,,7009,82.74695729199993
qefem,0,811850594,-162.32656077614539,,,0.07146731706755552,False,,6190,79.14214912500029
qefem,0,2325779058,-182.52219102829815,,,0.0843067979963904,False,,4147,73.70525245800127
qefem,0,2843577859,-202.86047365930486,,,0.09699201441318926,False,,5695,71.10876462499982
qefem,0,2553863643,-250.18530995828846,,,0.0,True,,106,72.0091535419997
