graph,step,temperature,beta,gamma,loss,mean_expected_cut,max_expected_cut,step_best_raw_cut,global_best_raw_cut_so_far,mean_entropy,mean_driver_energy,mean_free_energy,mean_R,mean_abs_rx,mean_abs_rz,frac_polarized,frac_ambiguous,run_group,partition,graph_type
G13,1,1.159999966621399,0.8620690107345581,1.0,-668.193603515625,17.0,17.0,74.0,74.0,554.4776611328125,-7.999605178833008,-668.193603515625,0.010000007227063179,0.009999506175518036,7.976528286235407e-05,0.0,1.0,small_1_3,2,toroidal
G13,50,1.1315672397613525,0.8837300539016724,0.9754877686500549,-657.3306884765625,17.0,17.0,92.0,102.0,554.406982421875,-12.981908798217773,-657.3306884765625,0.016635149717330933,0.016635149717330933,5.91592015553033e-06,0.0,1.0,small_1_3,2,toroidal
G13,100,1.102554202079773,0.9069848656654358,0.9504752159118652,-651.4873046875,17.0,17.0,96.0,106.0,554.1348266601562,-23.523649215698242,-651.4873046875,0.030936693772673607,0.030936693772673607,7.811534601387393e-07,0.0,1.0,small_1_3,2,toroidal
G13,150,1.0735411643981934,0.9314966797828674,0.9254627227783203,-658.6585693359375,17.0,17.0,0.0,106.0,552.822509765625,-48.18083953857422,-658.6585693359375,0.06507670879364014,0.06507668644189835,4.481649739318527e-05,0.0,1.0,small_1_3,2,toroidal
G13,200,1.0445282459259033,0.9573699831962585,0.9004502296447754,-693.6484375,16.999996185302734,16.999998092651367,-76.0,106.0,545.7215576171875,-106.62681579589844,-693.6484375,0.14801880717277527,0.1480187624692917,0.00010176471550948918,0.0,1.0,small_1_3,2,toroidal
G13,250,1.0155152082443237,0.984721839427948,0.8754377365112305,-757.2684936523438,16.999969482421875,16.99997901916504,-180.0,106.0,515.5965576171875,-216.67236328125,-757.2684936523438,0.3093772828578949,0.30937716364860535,0.00021846409072168171,0.0,1.0,small_1_3,2,toroidal
G13,300,0.9865021705627441,1.01368248462677,0.8504252433776855,-798.4483642578125,16.99993896484375,16.999963760375977,-282.0,106.0,454.2041320800781,-333.37506103515625,-798.4483642578125,0.49001234769821167,0.4900122582912445,0.0002709263935685158,0.0,1.0,small_1_3,2,toroidal
G13,350,0.9574891924858093,1.0443981885910034,0.8254126906394958,-802.3629150390625,68.638427734375,73.77565002441406,574.0,574.0,398.1409606933594,-352.5087890625,-802.3629150390625,0.6039053797721863,0.5338371992111206,0.2507907748222351,0.0,0.07385741919279099,small_1_3,2,toroidal
G13,400,0.9284762144088745,1.077033519744873,0.8004001975059509,-805.711669921875,154.4420623779297,159.64097595214844,580.0,580.0,337.311279296875,-338.0841064453125,-805.711669921875,0.7002174258232117,0.5279922485351562,0.42706480622291565,0.0,0.03612304478883743,small_1_3,2,toroidal
G13,450,0.8994631767272949,1.111774206161499,0.775387704372406,-803.0722045898438,224.64942932128906,231.7015380859375,580.0,580.0,285.03228759765625,-322.0467529296875,-803.0722045898438,0.7676846981048584,0.5191705226898193,0.5303549766540527,0.0,0.030292967334389687,small_1_3,2,toroidal
G13,500,0.8704501390457153,1.1488308906555176,0.7503751516342163,-794.7733764648438,274.3623962402344,282.4227294921875,580.0,580.0,246.9862060546875,-305.42181396484375,-794.7733764648438,0.810232400894165,0.5087818503379822,0.594599723815918,0.0,0.026874998584389687,small_1_3,2,toroidal
G13,550,0.8414371609687805,1.1884428262710571,0.7253626585006714,-783.722412109375,310.4750061035156,319.1402893066406,580.0,580.0,219.4778594970703,-288.57061767578125,-783.722412109375,0.8381006717681885,0.49728673696517944,0.6382737755775452,0.0,0.026308592408895493,small_1_3,2,toroidal
G13,600,0.8124241828918457,1.230884075164795,0.7003501653671265,-771.6148681640625,338.416259765625,347.47772216796875,580.0,580.0,198.67587280273438,-271.7895812988281,-771.6148681640625,0.8577001094818115,0.4850958585739136,0.6707621812820435,0.0,0.027128905057907104,small_1_3,2,toroidal
G13,650,0.7834111452102661,1.2764689922332764,0.6753376722335815,-759.2359619140625,361.3133850097656,370.6438903808594,580.0,580.0,182.11058044433594,-255.25515747070312,-759.2359619140625,0.8724542260169983,0.4724584221839905,0.696692705154419,0.0,0.026796873658895493,small_1_3,2,toroidal
G13,700,0.7543981075286865,1.3255600929260254,0.6503251791000366,-746.9478759765625,380.9039001464844,390.4234924316406,580.0,580.0,168.3136749267578,-239.0684814453125,-746.9478759765625,0.8841962814331055,0.4595172107219696,0.7185131907463074,0.0,0.027529295533895493,small_1_3,2,toroidal
G13,750,0.7253851294517517,1.3785780668258667,0.6253126859664917,-734.9249267578125,398.1787109375,407.83404541015625,580.0,580.0,156.41159057617188,-223.28758239746094,-734.9249267578125,0.893946647644043,0.4463518559932709,0.7375010251998901,0.0,0.027158202603459358,small_1_3,2,toroidal
G13,800,0.6963721513748169,1.4360138177871704,0.600300133228302,-723.2548217773438,413.72650146484375,423.4758605957031,580.0,580.0,145.8739013671875,-207.94578552246094,-723.2548217773438,0.9022977352142334,0.4330037534236908,0.7544689774513245,0.0,0.027099609375,small_1_3,2,toroidal
G13,850,0.6673591136932373,1.498443603515625,0.5752876400947571,-711.983642578125,427.91607666015625,437.72308349609375,580.0,580.0,136.36798095703125,-193.0611572265625,-711.983642578125,0.9096111059188843,0.4194883108139038,0.7698753476142883,0.0,0.0259863268584013,small_1_3,2,toroidal
G13,900,0.6383461356163025,1.566548228263855,0.5502750873565674,-701.1317749023438,440.9696960449219,450.81622314453125,580.0,580.0,127.68605041503906,-178.65415954589844,-701.1317749023438,0.9161099195480347,0.40582919120788574,0.7839822769165039,0.0,0.026347655802965164,small_1_3,2,toroidal
G13,950,0.6093330979347229,1.6411384344100952,0.5252625942230225,-690.7103881835938,453.04779052734375,462.92095947265625,580.0,580.0,119.69011688232422,-164.73143005371094,-690.7103881835938,0.921943187713623,0.39202162623405457,0.7969909310340881,0.0,0.02753906138241291,small_1_3,2,toroidal
G13,1000,0.5803201198577881,1.7231868505477905,0.5002501010894775,-680.72314453125,464.25927734375,474.1462707519531,580.0,580.0,112.28614807128906,-151.302001953125,-680.72314453125,0.9272146224975586,0.3780658543109894,0.8090463280677795,0.0,0.028749998658895493,small_1_3,2,toroidal
G13,1050,0.5513070821762085,1.813871145248413,0.4752376079559326,-671.1697998046875,474.68304443359375,484.5787048339844,580.0,580.0,105.40849304199219,-138.37429809570312,-671.1697998046875,0.9319990277290344,0.36396080255508423,0.8202581405639648,0.07637695223093033,0.029423827305436134,small_1_3,2,toroidal
G13,1100,0.5222941040992737,1.9146300554275513,0.4502251148223877,-662.0473022460938,484.37982177734375,494.2744140625,580.0,580.0,99.0094985961914,-125.95540618896484,-662.0473022460938,0.9363528490066528,0.3497011959552765,0.8307111859321594,0.2968164086341858,0.030429687350988388,small_1_3,2,toroidal
G13,1150,0.4932810664176941,2.0272417068481445,0.425212562084198,-653.3513793945312,493.39654541015625,503.289794921875,580.0,580.0,93.05288696289062,-114.05360412597656,-653.3513793945312,0.9403210282325745,0.3352840840816498,0.840482234954834,0.3502832055091858,0.031230468302965164,small_1_3,2,toroidal
G13,1200,0.4642680883407593,2.15392804145813,0.4002000689506531,-645.0767822265625,501.77203369140625,511.6610412597656,580.0,580.0,87.50944519042969,-102.67692565917969,-645.0767822265625,0.9439412951469421,0.32070499658584595,0.8496110439300537,0.41191405057907104,0.031718749552965164,small_1_3,2,toroidal
G13,1250,0.4352550506591797,2.2975034713745117,0.37518757581710815,-637.218017578125,509.53961181640625,519.42138671875,580.0,580.0,82.35400390625,-91.83344268798828,-637.218017578125,0.9472460150718689,0.30595844984054565,0.8581370115280151,0.44820311665534973,0.03208007663488388,small_1_3,2,toroidal
G13,1300,0.4062420725822449,2.4615864753723145,0.35017526149749756,-629.7697143554688,516.7283935546875,526.6065673828125,580.0,580.0,77.56351470947266,-81.53172302246094,-629.7697143554688,0.9502642750740051,0.29103896021842957,0.8660910129547119,0.5572558641433716,0.03237304463982582,small_1_3,2,toroidal
