method,trial,seed,energy,cut,gap,relative_error,ground_hit,target_hit,best_replica,runtime_sec
qefem,0,811850594,-162.32656077614539,,12.493953094722286,0.07146731706755552,False,,6190,78.13423920900095
lqa,0,811850594,-158.95662785923227,,15.863886011635401,0.09074384727729015,False,,0,0.10575845799758099
qefem,1,4281290857,-162.40386627602555,,12.416647594842118,0.07102511781891774,False,,614,77.87751170800766
lqa,1,4281290857,-160.21530752887122,,14.60520634199645,0.08354400761448787,False,,0,0.1067210829933174
qefem,2,2559764399,-162.05007640368592,,12.77043746718175,0.0730488498427291,False,,4731,78.78021912497934
lqa,2,2559764399,-159.90494323789963,,14.915570632968041,0.08531933869034115,False,,0,0.1066860829887446
qefem,3,404942209,-162.33716162310316,,12.483352247764515,0.07140667860629574,False,,504,109.02798399998574
lqa,3,404942209,-159.99639779237395,,14.824116078493716,0.08479620469165104,False,,0,0.10785541700897738
qefem,4,135394125,-162.27358307915654,,12.546930791711134,0.07177035757359121,False,,11,96.38989441699232
lqa,4,135394125,-159.59306793517294,,15.227445935694732,0.08710331298386748,False,,0,0.1281119579798542
