step,beta,gamma,loss_mean,free_energy_mean,expected_cut_mean,expected_cut_max,hard_cut_mean,hard_cut_max,best_cut_so_far,entropy_mean,driver_energy_mean,R_mean,R_min,R_max,rx_mean,rx_abs_mean,rz_mean,rz_abs_mean,grad_norm_raw_R,grad_norm_theta
10,127.1051025390625,0.0,-9592.36328125,-9592.36328125,9588.0,9588.0009765625,11090.8515625,11257.0,11257.0,554.4814453125,0.0,0.009502462111413479,0.00946215819567442,0.009566687978804111,0.009489023126661777,0.009489023126661777,1.8391990863619867e-07,0.0004651010676752776,2.325206878595054e-06,5.4717762395739555e-05
11,139.61561584472656,0.0,-9591.97265625,-9591.97265625,9588.0,9588.0009765625,11105.6875,11261.0,11261.0,554.4815673828125,0.0,0.009483728557825089,0.009441171772778034,0.009559782221913338,0.009466050192713737,0.009466050192713737,3.6852745211035653e-07,0.0005369004211388528,3.3106612136180047e-06,6.337597005767748e-05
12,152.12612915039062,0.0,-9591.64453125,-9591.64453125,9588.0,9588.0009765625,11118.828125,11269.0,11269.0,554.481689453125,0.0,0.009467795491218567,0.009422180242836475,0.009569218382239342,0.009445087052881718,0.009445087052881718,5.046534283792425e-07,0.0006118972669355571,4.5676229092350695e-06,7.244182052090764e-05
13,164.6366424560547,0.0,-9591.369140625,-9591.369140625,9588.0,9588.0009765625,11131.7109375,11283.0,11283.0,554.4818115234375,0.0,0.009454750455915928,0.009404385462403297,0.009591910056769848,0.009426156990230083,0.009426156990230083,5.922437935623748e-07,0.0006898384308442473,6.063664841349237e-06,8.187059574993327e-05
14,177.1471405029297,0.0,-9591.130859375,-9591.130859375,9588.0009765625,9588.0009765625,11143.0234375,11289.0,11289.0,554.48193359375,0.0,0.009444735944271088,0.009388096630573273,0.009625012055039406,0.009409344755113125,0.009409344755113125,6.385463393598911e-07,0.0007705922471359372,7.79638321546372e-06,9.163760114461184e-05
15,189.65765380859375,0.0,-9590.92578125,-9590.92578125,9588.001953125,9588.001953125,11152.984375,11291.0,11291.0,554.4820556640625,0.0,0.009437953121960163,0.009373292326927185,0.009668668732047081,0.009394788183271885,0.009394788183271885,6.537279091389792e-07,0.000854075828101486,9.77544732450042e-06,0.00010173884220421314
16,202.1681671142578,0.0,-9590.744140625,-9590.744140625,9588.001953125,9588.001953125,11163.71875,11309.0,11309.0,554.4820556640625,0.0,0.009434645064175129,0.009359660558402538,0.009722642600536346,0.009382665157318115,0.009382665157318115,6.482616186076484e-07,0.0009402692667208612,1.2016389518976212e-05,0.0001121855020755902
17,214.67868041992188,0.0,-9590.583984375,-9590.583984375,9588.001953125,9588.001953125,11172.109375,11316.0,11316.0,554.4820556640625,0.0,0.009435090236365795,0.009346436709165573,0.009786402806639671,0.009373188018798828,0.009373188018798828,6.316869871625386e-07,0.0010291747748851776,1.4538461073243525e-05,0.00012299900117795914
18,227.18919372558594,0.0,-9590.443359375,-9590.443359375,9588.001953125,9588.0029296875,11180.1484375,11326.0,11326.0,554.4820556640625,0.0,0.009439591318368912,0.009334184229373932,0.009859212674200535,0.009366585873067379,0.009366585873067379,6.120887405813846e-07,0.0011208336800336838,1.7363927327096462e-05,0.00013420790492091328
19,239.69969177246094,0.0,-9590.31640625,-9590.31640625,9588.001953125,9588.0029296875,11186.5,11329.0,11329.0,554.4820556640625,0.0,0.009448457509279251,0.009322519414126873,0.009940256364643574,0.00936309713870287,0.00936309713870287,5.958082169854606e-07,0.0012152865529060364,2.0517920347629115e-05,0.0001458462211303413
20,252.210205078125,0.0,-9590.201171875,-9590.201171875,9588.00390625,9588.00390625,11192.8671875,11329.0,11329.0,554.4819946289062,0.0,0.009461997076869011,0.009308711625635624,0.01002874132245779,0.009362949058413506,0.009362949058413506,5.87376632665837e-07,0.0013126370031386614,2.4028491679928266e-05,0.00015795239596627653
21,264.7207336425781,0.0,-9590.09765625,-9590.09765625,9588.00390625,9588.00390625,11198.6484375,11337.0,11337.0,554.48193359375,0.0,0.00948050245642662,0.009295940399169922,0.010123957879841328,0.00936635211110115,0.00936635211110115,5.896579864383966e-07,0.0014129877090454102,2.7926704206038266e-05,0.00017056842625606805
22,277.2312316894531,0.0,-9590.00390625,-9590.00390625,9588.00390625,9588.0048828125,11205.0625,11337.0,11337.0,554.4817504882812,0.0,0.009504237212240696,0.0092844907194376,0.010225299745798111,0.009373481385409832,0.009373481385409832,6.041258302502683e-07,0.0015164765063673258,3.224672400392592e-05,0.00018373886996414512
23,289.7417297363281,0.0,-9589.91796875,-9589.91796875,9588.00390625,9588.005859375,11209.78125,11339.0,11339.0,554.4815673828125,0.0,0.009533430449664593,0.00927471462637186,0.010332276113331318,0.00938447192311287,0.00938447192311287,6.311022957561363e-07,0.001623232034035027,3.7025882193120196e-05,0.00019750985666178167
24,302.25225830078125,0.0,-9589.83984375,-9589.83984375,9588.005859375,9588.0068359375,11214.5703125,11339.0,11339.0,554.4813232421875,0.0,0.009568272158503532,0.009263351559638977,0.010444500483572483,0.0093994140625,0.0093994140625,6.700094559164427e-07,0.0017333714058622718,4.230467675370164e-05,0.00021192811254877597
25,314.76275634765625,0.0,-9589.767578125,-9589.767578125,9588.005859375,9588.0078125,11218.9609375,11339.0,11339.0,554.4810791015625,0.0,0.009608912281692028,0.009248554706573486,0.010561664588749409,0.009418350644409657,0.009418350644409657,7.195373541435401e-07,0.0018470933428034186,4.812679617316462e-05,0.00022704008733853698
26,327.2732849121094,0.0,-9589.701171875,-9589.701171875,9588.0078125,9588.0087890625,11222.5546875,11340.0,11340.0,554.480712890625,0.0,0.009655455127358437,0.009234299883246422,0.010683546774089336,0.009441275149583817,0.009441275149583817,7.778154440529761e-07,0.001964549534022808,5.453913763631135e-05,0.00024289137218147516
27,339.7837829589844,0.0,-9589.640625,-9589.640625,9588.0078125,9588.009765625,11226.453125,11340.0,11340.0,554.4803466796875,0.0,0.009707970544695854,0.009220941923558712,0.010809985920786858,0.009468140080571175,0.009468140080571175,8.42586018734437e-07,0.002085895976051688,6.159181066323072e-05,0.0002595261321403086
28,352.2942810058594,0.0,-9589.583984375,-9589.583984375,9588.009765625,9588.0107421875,11229.8515625,11342.0,11342.0,554.47998046875,0.0,0.009766492992639542,0.00920892134308815,0.010940860956907272,0.009498855099081993,0.009498855099081993,9.114244789998338e-07,0.002211284590885043,6.93382098688744e-05,0.00027698700432665646
29,364.8048095703125,0.0,-9589.529296875,-9589.529296875,9588.009765625,9588.01171875,11232.65625,11342.0,11342.0,554.4794921875,0.0,0.009831025265157223,0.009197025559842587,0.011076096445322037,0.009533293545246124,0.009533293545246124,9.819699471336207e-07,0.0023409046698361635,7.783505861880258e-05,0.00029531490872614086
30,377.3153076171875,0.0,-9589.48046875,-9589.48046875,9588.01171875,9588.013671875,11236.03125,11342.0,11342.0,554.47900390625,0.0,0.009901550598442554,0.009181404486298561,0.01121564581990242,0.009571301750838757,0.009571301750838757,1.0521574722588412e-06,0.0024749275762587786,8.714255091035739e-05,0.0003145490773022175
31,389.8258361816406,0.0,-9589.435546875,-9589.435546875,9588.0126953125,9588.0146484375,11238.6328125,11342.0,11342.0,554.4784545898438,0.0,0.009978030808269978,0.009167223237454891,0.011359485797584057,0.00961269810795784,0.00961269810795784,1.1203084113731165e-06,0.0026135060470551252,9.732445323606953e-05,0.00033472717041149735
32,402.3363342285156,0.0,-9589.392578125,-9589.392578125,9588.013671875,9588.0166015625,11241.375,11342.0,11342.0,554.477783203125,0.0,0.010060416534543037,0.009144394658505917,0.01150762289762497,0.009657285176217556,0.009657285176217556,1.1851727776956977e-06,0.0027568035293370485,0.00010844829375855625,0.0003558854223228991
33,414.8468322753906,0.0,-9589.3525390625,-9589.3525390625,9588.015625,9588.0185546875,11244.25,11344.0,11344.0,554.4771728515625,0.0,0.01014864444732666,0.00912131741642952,0.011660069227218628,0.009704846888780594,0.009704846888780594,1.245863018084492e-06,0.0029049888253211975,0.00012058550055371597,0.0003780586994253099
34,427.35736083984375,0.0,-9589.314453125,-9589.314453125,9588.017578125,9588.0205078125,11246.609375,11344.0,11344.0,554.4764404296875,0.0,0.010242653079330921,0.00909869372844696,0.011816856451332569,0.009755156934261322,0.009755156934261322,1.301810925724567e-06,0.0030582291074097157,0.00013381159806158394,0.0004012806748505682
35,439.86785888671875,0.0,-9589.279296875,-9589.279296875,9588.01953125,9588.0224609375,11249.7734375,11344.0,11344.0,554.4756469726562,0.0,0.010342376306653023,0.009077107533812523,0.01197802647948265,0.009807980619370937,0.009807980619370937,1.3526822613130207e-06,0.0032166754826903343,0.00014820642536506057,0.000425583915784955
36,452.3783874511719,0.0,-9589.2470703125,-9589.2470703125,9588.021484375,9588.0244140625,11252.3515625,11347.0,11347.0,554.4747314453125,0.0,0.010447745211422443,0.009057249873876572,0.012143634259700775,0.009863078594207764,0.009863078594207764,1.3983737972012023e-06,0.003380505135282874,0.00016385436174459755,0.0004509998834691942
37,464.8888854980469,0.0,-9589.2158203125,-9589.2158203125,9588.0234375,9588.02734375,11254.1171875,11350.0,11350.0,554.473876953125,0.0,0.010558702982962132,0.009039919823408127,0.012313734740018845,0.009920207783579826,0.009920207783579826,1.4389667057912447e-06,0.003549800021573901,0.00018084447947330773,0.00047755916602909565
38,477.3993835449219,0.0,-9589.1875,-9589.1875,9588.025390625,9588.0302734375,11256.109375,11350.0,11350.0,554.472900390625,0.0,0.010675189085304737,0.009023970924317837,0.012488399632275105,0.009979122318327427,0.009979122318327427,1.4747539580639568e-06,0.0037247221916913986,0.00019927085668314248,0.0005052910419180989
39,489.909912109375,0.0,-9589.16015625,-9589.16015625,9588.029296875,9588.033203125,11258.6953125,11350.0,11350.0,554.471923828125,0.0,0.01079715508967638,0.008999843150377274,0.012667704373598099,0.010039574466645718,0.010039574466645718,1.5062079228300718e-06,0.0039054485969245434,0.00021923273743595928,0.0005342239164747298
40,502.42041015625,0.0,-9589.134765625,-9589.134765625,9588.03125,9588.0361328125,11260.4140625,11350.0,11350.0,554.4708251953125,0.0,0.01092455629259348,0.008972533978521824,0.01285172812640667,0.01010132022202015,0.01010132022202015,1.5339204537667683e-06,0.004092110786587,0.00024083477910608053,0.0005643847398459911
41,514.930908203125,0.0,-9589.111328125,-9589.111328125,9588.03515625,9588.0390625,11262.046875,11350.0,11350.0,554.4697265625,0.0,0.011057361029088497,0.008944334462285042,0.013040554709732533,0.010164112783968449,0.010164112783968449,1.5585674191243015e-06,0.004284817725419998,0.0002641873143147677,0.0005957992980256677
42,527.4414672851562,0.0,-9589.087890625,-9589.087890625,9588.037109375,9588.04296875,11263.5546875,11350.0,11350.0,554.468505859375,0.0,0.011195540428161621,0.008898703381419182,0.013234274461865425,0.010227706283330917,0.010227706283330917,1.580882781127002e-06,0.004483712371438742,0.0002894065692089498,0.0006284918636083603
43,539.9519653320312,0.0,-9589.068359375,-9589.068359375,9588.041015625,9588.046875,11265.4140625,11350.0,11350.0,554.46728515625,0.0,0.011339077726006508,0.008845649659633636,0.013432980515062809,0.010291854850947857,0.010291854850947857,1.6016192603274249e-06,0.0046889507211744785,0.000316614838084206,0.0006624849047511816
44,552.4624633789062,0.0,-9589.048828125,-9589.048828125,9588.044921875,9588.0517578125,11266.875,11350.0,11350.0,554.4659423828125,0.0,0.011487962678074837,0.008792376145720482,0.013636770658195019,0.010356319136917591,0.010356319136917591,1.6215295772781246e-06,0.004900665022432804,0.0003459408471826464,0.0006977992015890777
45,564.9729614257812,0.0,-9589.03125,-9589.03125,9588.048828125,9588.056640625,11268.0546875,11356.0,11356.0,554.464599609375,0.0,0.011642197147011757,0.008739722892642021,0.013845751993358135,0.010420850478112698,0.010420850478112698,1.6413107459811727e-06,0.005118988454341888,0.00037751987110823393,0.0007344531477428973
46,577.4834594726562,0.0,-9589.013671875,-9589.013671875,9588.0546875,9588.0615234375,11269.3046875,11356.0,11356.0,554.4630737304688,0.0,0.011801788583397865,0.008688637986779213,0.01406002976000309,0.010485205799341202,0.010485205799341202,1.6616201037322753e-06,0.00534405093640089,0.0004114940529689193,0.0007724628667347133
47,589.9940185546875,0.0,-9588.998046875,-9588.998046875,9588.05859375,9588.06640625,11270.7109375,11356.0,11356.0,554.4615478515625,0.0,0.011966750025749207,0.008640211075544357,0.014279719442129135,0.010549142025411129,0.010549142025411129,1.6830322238092776e-06,0.005575993098318577,0.00044801257899962366,0.000811841688118875
48,602.5045166015625,0.0,-9588.984375,-9588.984375,9588.064453125,9588.072265625,11272.1328125,11356.0,11356.0,554.4599609375,0.0,0.012137112207710743,0.00859567429870367,0.014504930004477501,0.01061241328716278,0.01061241328716278,1.7060323216355755e-06,0.0058149718679487705,0.00048723191139288247,0.000852599972859025
49,615.0150146484375,0.0,-9588.970703125,-9588.970703125,9588.0703125,9588.0791015625,11273.390625,11357.0,11357.0,554.458251953125,0.0,0.012312903068959713,0.008556448854506016,0.014735777862370014,0.010674770921468735,0.010674770921468735,1.7309527038378292e-06,0.006061130668967962,0.0005293160211294889,0.0008947446476668119
50,627.5255126953125,0.0,-9588.958984375,-9588.958984375,9588.076171875,9588.0849609375,11274.515625,11357.0,11357.0,554.4564819335938,0.0,0.012494166381657124,0.008524141274392605,0.014972386881709099,0.010735968127846718,0.010735968127846718,1.7580445046405657e-06,0.006314582657068968,0.0005744366208091378,0.0009382789139635861
51,640.0360107421875,0.0,-9588.9482421875,-9588.9482421875,9588.08203125,9588.0927734375,11275.703125,11360.0,11360.0,554.45458984375,0.0,0.012680948711931705,0.008484933525323868,0.015214882791042328,0.010795754380524158,0.010795754380524158,1.787426640476042e-06,0.0065754675306379795,0.0006227733101695776,0.000983201782219112
52,652.5465698242188,0.0,-9588.9384765625,-9588.9384765625,9588.0888671875,9588.1005859375,11277.03125,11360.0,11360.0,554.4526977539062,0.0,0.012873303145170212,0.0084371417760849,0.015463399700820446,0.010853874497115612,0.010853874497115612,1.8191151411883766e-06,0.00684393709525466,0.0006745138089172542,0.0010295077227056026
53,665.0570678710938,0.0,-9588.9296875,-9588.9296875,9588.095703125,9588.1083984375,11278.0859375,11360.0,11360.0,554.45068359375,0.0,0.01307129580527544,0.008397516794502735,0.015718065202236176,0.010910069569945335,0.010910069569945335,1.8530794250182225e-06,0.007120128255337477,0.0007298542186617851,0.0010771863162517548
54,677.5675659179688,0.0,-9588.921875,-9588.921875,9588.103515625,9588.1171875,11279.2421875,11363.0,11363.0,554.4486083984375,0.0,0.01327499095350504,0.008368213661015034,0.015979014337062836,0.01096408348530531,0.01096408348530531,1.8892245634560823e-06,0.0074041555635631084,0.0007889990229159594,0.0011262212647125125
55,690.0780639648438,0.0,-9588.916015625,-9588.916015625,9588.11328125,9588.126953125,11279.890625,11363.0,11363.0,554.4464111328125,0.0,0.013484462164342403,0.00834829080849886,0.016246391460299492,0.011015650816261768,0.011015650816261768,1.927426637848839e-06,0.007696132641285658,0.0008521614945493639,0.0011765906820073724
56,702.5885620117188,0.0,-9588.91015625,-9588.91015625,9588.12109375,9588.13671875,11280.8359375,11366.0,11366.0,554.444091796875,0.0,0.013699793256819248,0.008293990045785904,0.016520341858267784,0.0110645005479455,0.0110645005479455,1.9675394469231833e-06,0.00799620058387518,0.0009195636957883835,0.0012282662792131305
57,715.09912109375,0.0,-9588.90625,-9588.90625,9588.130859375,9588.1474609375,11281.515625,11366.0,11366.0,554.441650390625,0.0,0.013921069912612438,0.008245942182838917,0.016801008954644203,0.01111036166548729,0.01111036166548729,2.0094191768293967e-06,0.008304480463266373,0.0009914364200085402,0.001281212316825986
58,727.609619140625,0.0,-9588.90234375,-9588.90234375,9588.140625,9588.158203125,11282.046875,11367.0,11367.0,554.439208984375,0.0,0.014148385263979435,0.008198856376111507,0.017088545486330986,0.011152953840792179,0.011152953840792179,2.0528473214653786e-06,0.008621097542345524,0.001068019773811102,0.0013353858375921845
59,740.1201171875,0.0,-9588.90234375,-9588.90234375,9588.15234375,9588.169921875,11282.9453125,11367.0,11367.0,554.4365844726562,0.0,0.014381835237145424,0.008146945387125015,0.017383113503456116,0.011191998608410358,0.011191998608410358,2.09758081837208e-06,0.008946177549660206,0.0011495630024001002,0.0013907355023548007
60,752.630615234375,0.0,-9588.900390625,-9588.900390625,9588.1640625,9588.18359375,11283.6328125,11369.0,11369.0,554.433837890625,0.0,0.014621524140238762,0.008087541908025742,0.017684875056147575,0.011227203533053398,0.011227203533053398,2.1432765606732573e-06,0.009279859252274036,0.0012363243149593472,0.0014472015900537372
61,765.14111328125,0.0,-9588.900390625,-9588.900390625,9588.17578125,9588.197265625,11284.3359375,11369.0,11369.0,554.4309692382812,0.0,0.014867565594613552,0.008035095408558846,0.01799398474395275,0.011258275248110294,0.011258275248110294,2.189553242715192e-06,0.009622231125831604,0.0013285712338984013,0.0015047146007418633
62,777.6516723632812,0.0,-9588.90234375,-9588.90234375,9588.189453125,9588.2109375,11285.0859375,11369.0,11369.0,554.4280395507812,0.0,0.015120069496333599,0.007991032674908638,0.01831061765551567,0.01128491759300232,0.01128491759300232,2.2359452032105764e-06,0.009973441250622272,0.0014265807112678885,0.0015631952555850148
63,790.1621704101562,0.0,-9588.904296875,-9588.904296875,9588.203125,9588.2265625,11285.7734375,11369.0,11369.0,554.4248657226562,0.0,0.015379158779978752,0.00789661891758442,0.018634943291544914,0.01130682323127985,0.01130682323127985,2.2819428977527423e-06,0.010333576239645481,0.0015306390123441815,0.0016225535655394197
64,802.6726684570312,0.0,-9588.908203125,-9588.908203125,9588.21875,9588.2431640625,11286.84375,11374.0,11374.0,554.421630859375,0.0,0.01564495824277401,0.007797783240675926,0.01896713674068451,0.011323682963848114,0.011323682963848114,2.3270383735507494e-06,0.010702776722609997,0.0016410410171374679,0.0016826883656904101
65,815.1831665039062,0.0,-9588.9140625,-9588.9140625,9588.234375,9588.2607421875,11287.6015625,11380.0,11380.0,554.4182739257812,0.0,0.015917599201202393,0.007703348528593779,0.019307386130094528,0.011335181072354317,0.011335181072354317,2.3707534637651406e-06,0.011081143282353878,0.0017580915009602904,0.0017434863839298487
66,827.6936645507812,0.0,-9588.919921875,-9588.919921875,9588.25,9588.2783203125,11288.3359375,11380.0,11380.0,554.414794921875,0.0,0.016197213903069496,0.007614219561219215,0.019655875861644745,0.011340995319187641,0.011340995319187641,2.412625462966389e-06,0.011468768119812012,0.0018821038538590074,0.0018048214260488749
67,840.2042236328125,0.0,-9588.927734375,-9588.927734375,9588.267578125,9588.2978515625,11289.078125,11380.0,11380.0,554.4110717773438,0.0,0.01648394763469696,0.007531427778303623,0.020012790337204933,0.011340801604092121,0.011340801604092121,2.452290800647461e-06,0.011865724809467793,0.00201339996419847,0.0018665546085685492
68,852.7147216796875,0.0,-9588.9375,-9588.9375,9588.287109375,9588.318359375,11289.65625,11380.0,11380.0,554.4072265625,0.0,0.016777943819761276,0.007456148974597454,0.02037833072245121,0.011334266513586044,0.011334266513586044,2.4895209662645357e-06,0.012272114865481853,0.0021523109171539545,0.0019285324960947037
69,865.2252197265625,0.0,-9588.947265625,-9588.947265625,9588.306640625,9588.33984375,11290.046875,11380.0,11380.0,554.4031982421875,0.0,0.01707935333251953,0.00738972844555974,0.020752694457769394,0.0113210529088974,0.0113210529088974,2.5241974981327076e-06,0.012687995098531246,0.0022991758305579424,0.001990587217733264
70,877.7357177734375,0.0,-9588.958984375,-9588.958984375,9588.328125,9588.36328125,11290.921875,11380.0,11380.0,554.3990478515625,0.0,0.01738833449780941,0.007333669811487198,0.0211360864341259,0.011300820857286453,0.011300820857286453,2.556299023126485e-06,0.013113457709550858,0.0024543418549001217,0.002052535768598318
71,890.2462158203125,0.0,-9588.97265625,-9588.97265625,9588.349609375,9588.3876953125,11291.9453125,11380.0,11380.0,554.3946533203125,0.0,0.017705043777823448,0.007289609406143427,0.021528711542487144,0.011273226700723171,0.011273226700723171,2.585942866062396e-06,0.013548613525927067,0.002618163824081421,0.0021141786128282547
72,902.7567749023438,0.0,-9588.9873046875,-9588.9873046875,9588.373046875,9588.4130859375,11292.6015625,11380.0,11380.0,554.3900756835938,0.0,0.018029650673270226,0.007259217090904713,0.021930787712335587,0.011237917467951775,0.011237917467951775,2.6133818664675346e-06,0.013993501663208008,0.0027910040225833654,0.0021752999164164066
73,915.2672729492188,0.0,-9589.00390625,-9589.00390625,9588.3984375,9588.439453125,11293.03125,11380.0,11380.0,554.3853149414062,0.0,0.01836232654750347,0.00724407471716404,0.022342532873153687,0.011194545775651932,0.011194545775651932,2.6389584490971174e-06,0.01444817055016756,0.0029732317198067904,0.0022356670815497637
74,927.7777709960938,0.0,-9589.021484375,-9589.021484375,9588.423828125,9588.46875,11293.5703125,11380.0,11380.0,554.38037109375,0.0,0.018703244626522064,0.007245467510074377,0.022764164954423904,0.01114275585860014,0.01114275585860014,2.6631525997800054e-06,0.014912662096321583,0.0031652224715799093,0.0022950293496251106
75,940.2882690429688,0.0,-9589.041015625,-9589.041015625,9588.451171875,9588.498046875,11294.203125,11380.0,11380.0,554.3751220703125,0.0,0.01905258558690548,0.007264194544404745,0.023195920512080193,0.011082189157605171,0.011082189157605171,2.686561629161588e-06,0.01538702379912138,0.0033673569560050964,0.002353118034079671
76,952.7987670898438,0.0,-9589.0625,-9589.0625,9588.48046875,9588.529296875,11294.6328125,11380.0,11380.0,554.3697509765625,0.0,0.01941053383052349,0.0073004416190087795,0.02363802306354046,0.011012491770088673,0.011012491770088673,2.7097987640445353e-06,0.015871291980147362,0.0035800221376121044,0.002409646287560463
77,965.309326171875,0.0,-9589.0849609375,-9589.0849609375,9588.5107421875,9588.5625,11295.0859375,11380.0,11380.0,554.3640747070312,0.0,0.01977727934718132,0.007250053808093071,0.024090716615319252,0.010933306068181992,0.010933306068181992,2.733532483034651e-06,0.016365475952625275,0.0038036091718822718,0.002464307937771082
78,977.81982421875,0.0,-9589.1103515625,-9589.1103515625,9588.54296875,9588.59765625,11295.7578125,11382.0,11382.0,554.358154296875,0.0,0.020153015851974487,0.007185077760368586,0.024554241448640823,0.01084427535533905,0.01084427535533905,2.758461960183922e-06,0.016869617626070976,0.004038512706756592,0.002516778651624918
79,990.330322265625,0.0,-9589.13671875,-9589.13671875,9588.576171875,9588.6337890625,11296.328125,11382.0,11382.0,554.3519897460938,0.0,0.020537948235869408,0.007130294572561979,0.02502884902060032,0.010745050385594368,0.010745050385594368,2.7852520361193456e-06,0.017383744940161705,0.004285132046788931,0.0025667145382612944
80,1002.8408203125,0.0,-9589.1640625,-9589.1640625,9588.611328125,9588.6728515625,11297.015625,11382.0,11382.0,554.3455810546875,0.0,0.0209322702139616,0.007087134290486574,0.02551478147506714,0.010635284706950188,0.010635284706950188,2.8144518182671163e-06,0.017907865345478058,0.004543866962194443,0.002613753080368042
81,1015.351318359375,0.0,-9589.193359375,-9589.193359375,9588.6484375,9588.712890625,11297.6640625,11382.0,11382.0,554.3388671875,0.0,0.021336201578378677,0.00705707585439086,0.02601231075823307,0.010514633730053902,0.010514633730053902,2.846481265805778e-06,0.018441952764987946,0.004815120715647936,0.002657512668520212
82,1027.86181640625,0.0,-9589.2265625,-9589.2265625,9588.6875,9588.7548828125,11298.109375,11388.0,11388.0,554.331787109375,0.0,0.0217499490827322,0.00704153859987855,0.02652168832719326,0.010382764041423798,0.010382764041423798,2.8815561563533265e-06,0.018985990434885025,0.005099296569824219,0.002697594929486513
83,1040.372314453125,0.0,-9589.26171875,-9589.26171875,9588.728515625,9588.798828125,11298.46875,11392.0,11392.0,554.324462890625,0.0,0.022173738107085228,0.007041738834232092,0.027043187990784645,0.010239353403449059,0.010239353403449059,2.91979631583672e-06,0.01953994296491146,0.005396798253059387,0.002733582630753517
84,1052.8829345703125,0.0,-9589.296875,-9589.296875,9588.771484375,9588.845703125,11298.8359375,11392.0,11392.0,554.3168334960938,0.0,0.02260778844356537,0.007058525923639536,0.027577074244618416,0.010084092617034912,0.010084092617034912,2.9611430818476947e-06,0.02010379545390606,0.005708029959350824,0.002765042707324028
85,1065.3934326171875,0.0,-9589.3359375,-9589.3359375,9588.8154296875,9588.8935546875,11299.25,11392.0,11392.0,554.308837890625,0.0,0.023052329197525978,0.0070314607582986355,0.028123632073402405,0.009916688315570354,0.009916688315570354,3.0055105071369326e-06,0.02067749947309494,0.006033394020050764,0.002791526960209012
