run_group,instance,step,temperature,beta,gamma,loss,mean_free_energy,mean_expected_cut,max_expected_cut,mean_entropy,mean_driver_energy,step_best_cut,global_best_cut,global_best_accuracy,step_success_count,step_success_probability,ever_success_count,ever_success_probability,mean_R,mean_abs_rx,mean_abs_rz,frac_polarized,frac_ambiguous,raw_R_grad_norm,theta_grad_norm,raw_R_grad_mean_abs,theta_grad_mean_abs,raw_R_grad_max_abs,theta_grad_max_abs,raw_R_step_norm,theta_step_norm,raw_R_step_mean_abs,theta_step_mean_abs
small_1_3,G4,1,1.159999966621399,0.8620690107345581,1.0,-10239.193359375,-10239.4296875,9588.0,9588.0,554.4752197265625,-8.23920726776123,9714.0,9714.0,83.41061308603813,0,0.0,0,0.0,0.010301360860466957,0.010299009270966053,0.0002131177461706102,0.0,1.0,0.0244616512209177,0.0002500060654710978,7.644262950634584e-05,6.235635510165594e-07,7.675501547055319e-05,3.8112539186840877e-06,9.59869384765625,9.206169128417969,0.02999591827392578,0.028643235564231873
small_1_3,G4,50,1.1315672397613525,0.8837300539016724,0.9754877686500549,-10254.61328125,-10256.15234375,9588.0,9588.0,553.3591918945312,-41.988739013671875,10035.0,10070.0,86.4674566374721,0,0.0,0,0.0,0.05380481481552124,0.05380479618906975,3.485667548375204e-05,0.0,1.0,0.11239645630121231,0.0001028881742968224,0.00035123879206366837,2.5495779709672206e-07,0.00035245416802354157,1.4470003861788427e-06,13.446798324584961,0.3582445979118347,0.042021244764328,0.000897526741027832
small_1_3,G4,100,1.102554202079773,0.9069848656654358,0.9504752159118652,-10437.6669921875,-10448.6669921875,9621.5634765625,9648.0888671875,490.1367492675781,-286.7018127441406,11501.0,11501.0,98.75493731753392,0,0.0,0,0.0,0.395708292722702,0.37705060839653015,0.11070021986961365,0.0,0.1379687488079071,0.3745467960834503,0.3439517617225647,0.0011491709155961871,0.0007727406919002533,0.0031295972876250744,0.006337525323033333,16.140396118164062,15.965191841125488,0.05041516199707985,0.04785078018903732
small_1_3,G4,150,1.0735411643981934,0.9314966797828674,0.9254627227783203,-11487.189453125,-11494.2197265625,11140.5517578125,11193.08984375,159.52810668945312,-182.40847778320312,11602.0,11602.0,99.62218787566546,0,0.0,0,0.0,0.8962989449501038,0.24637478590011597,0.8384628295898438,0.0,0.0030566405039280653,0.651816189289093,0.2556489408016205,0.0017471350729465485,0.0005273905117064714,0.008493009954690933,0.009334886446595192,11.682501792907715,3.7604920864105225,0.03527342155575752,0.0074539789929986
small_1_3,G4,200,1.0445282459259033,0.9573699831962585,0.9004502296447754,-11611.107421875,-11612.001953125,11352.0966796875,11415.921875,83.14299774169922,-173.060302734375,11624.0,11624.0,99.81109393783274,0,0.0,0,0.0,0.9536609649658203,0.24024133384227753,0.9025599360466003,0.488525390625,0.0021777343936264515,0.23058466613292694,0.05599797144532204,0.0006166668026708066,6.853677041362971e-05,0.0030413635540753603,0.0061866482719779015,4.247387409210205,1.9141901731491089,0.012415523640811443,0.001804393483325839
small_1_3,G4,250,1.0155152082443237,0.984721839427948,0.8754377365112305,-11631.6875,-11632.01953125,11404.9306640625,11472.53125,62.226863861083984,-163.89761352539062,11628.0,11628.0,99.84544049459042,0,0.0,0,0.0,0.9665437936782837,0.2340223640203476,0.9187954664230347,0.6294823884963989,0.0021191404666751623,0.13756701350212097,0.03000696748495102,0.00036646047374233603,1.8384906070423312e-05,0.00204201671294868,0.005536643788218498,2.6626880168914795,1.247383952140808,0.007707266137003899,0.0008813499007374048
small_1_3,G4,300,0.9865021705627441,1.01368248462677,0.8504252433776855,-11637.7431640625,-11637.921875,11431.9677734375,11497.583984375,51.69788360595703,-154.95291137695312,11628.0,11628.0,99.84544049459042,0,0.0,0,0.0,0.9724666476249695,0.22775797545909882,0.9275112748146057,0.6873730421066284,0.0020507811568677425,0.09627529978752136,0.023258790373802185,0.00025581708177924156,1.0974574252031744e-05,0.0015126236248761415,0.004924901761114597,2.023777484893799,0.9275380373001099,0.005791494622826576,0.000580189807806164
small_1_3,G4,350,0.9574891924858093,1.0443981885910034,0.8254126906394958,-11639.0771484375,-11639.1953125,11449.79296875,11513.5546875,44.98136901855469,-146.33192443847656,11628.0,11628.0,99.84544049459042,0,0.0,0,0.0,0.9760786294937134,0.22160418331623077,0.9335770010948181,0.7220898270606995,0.0022167968563735485,0.07327388972043991,0.020681029185652733,0.00019451219122856855,8.885652277967893e-06,0.0017355119343847036,0.006498770788311958,1.690741777420044,0.9664108157157898,0.0047542015090584755,0.0005288291140459478
small_1_3,G4,400,0.9284762144088745,1.077033519744873,0.8004001975059509,-11638.2421875,-11638.3212890625,11463.0693359375,11527.556640625,40.10044479370117,-138.02011108398438,11631.0,11632.0,99.8797870513481,0,0.0,0,0.0,0.9786717295646667,0.2155485898256302,0.9384074807167053,0.7492284774780273,0.0019335936522111297,0.05832662060856819,0.01950279250741005,0.00015484727919101715,6.6118172981077805e-06,0.0013983865501359105,0.008321668021380901,1.4468995332717896,0.8232101798057556,0.004060558974742889,0.0004104602849110961
small_1_3,G4,450,0.8994631767272949,1.111774206161499,0.775387704372406,-11636.138671875,-11636.19140625,11473.4599609375,11541.33984375,36.38591003417969,-130.00360107421875,11635.0,11635.0,99.90554696891637,0,0.0,0,0.0,0.9806028604507446,0.20957839488983154,0.9424806237220764,0.7704980373382568,0.0016894531436264515,0.047788117080926895,0.00875788927078247,0.00012710160808637738,3.7777231227664743e-06,0.0014885456766933203,0.002699316944926977,1.2519875764846802,0.43901288509368896,0.0035504470579326153,0.0002594524121377617
small_1_3,G4,500,0.8704501390457153,1.1488308906555176,0.7503751516342163,-11633.296875,-11633.3359375,11481.9365234375,11550.9873046875,33.439517974853516,-122.29338073730469,11634.0,11635.0,99.90554696891637,0,0.0,0,0.0,0.9821056723594666,0.20372039079666138,0.9458624720573425,0.7878710627555847,0.001748046837747097,0.040152400732040405,0.008829588070511818,0.00010714889504015446,2.9944601465103915e-06,0.0011962995631620288,0.0041642021387815475,1.1022604703903198,0.4609535336494446,0.0031707212328910828,0.00022891032858751714
