instance,N,edges,best_known_cut,vanilla_fem_best_cut,gap,accuracy,percent_accuracy,runtime_sec,best_replica,R,N_steps,beta_min,beta_max,schedule_kind,lr,seed,batch
G11,800,1600,564,526.0,38.0,0.9326241134751773,93.26241134751773,4.2451012134552,52,128,1000,2.0,12500.0,linear,0.01,0,2
G12,800,1600,556,520.0,36.0,0.935251798561151,93.5251798561151,4.228103876113892,126,128,1000,2.0,12500.0,linear,0.01,0,2
G13,800,1600,582,542.0,40.0,0.9312714776632303,93.12714776632302,4.163055896759033,28,128,1000,2.0,12500.0,linear,0.01,0,2
