batch,g_index,instance,N,edges,best_known_cut,vanilla_fem_best_cut,gap,accuracy,percent_accuracy,runtime_sec,best_replica,R,N_steps,beta_min,beta_max,schedule_kind,lr,seed
6,37,G37,2000,11785,7691,7520.0,171.0,0.9777662202574438,97.77662202574437,8.150532960891724,3,128,1000,2.0,12500.0,linear,0.01,0
6,38,G38,2000,11779,7688,7514.0,174.0,0.9773673257023934,97.73673257023934,8.672926902770996,29,128,1000,2.0,12500.0,linear,0.01,0
6,39,G39,2000,11778,2408,2188.0,220.0,0.9086378737541528,90.86378737541528,8.836483001708984,67,128,1000,2.0,12500.0,linear,0.01,0
6,40,G40,2000,11766,2400,2183.0,217.0,0.9095833333333333,90.95833333333333,8.739481925964355,86,128,1000,2.0,12500.0,linear,0.01,0
6,41,G41,2000,11785,2405,2193.0,212.0,0.9118503118503118,91.18503118503118,8.396402835845947,50,128,1000,2.0,12500.0,linear,0.01,0
6,42,G42,2000,11779,2481,2273.0,208.0,0.9161628375654978,91.61628375654978,8.13830304145813,74,128,1000,2.0,12500.0,linear,0.01,0
7,43,G43,1000,9990,6660,6514.0,146.0,0.9780780780780781,97.8078078078078,5.288885831832886,15,128,1000,2.0,12500.0,linear,0.01,0
7,44,G44,1000,9990,6650,6495.0,155.0,0.9766917293233083,97.66917293233082,4.969285011291504,76,128,1000,2.0,12500.0,linear,0.01,0
7,45,G45,1000,9990,6654,6503.0,151.0,0.977306883077848,97.7306883077848,5.010603189468384,79,128,1000,2.0,12500.0,linear,0.01,0
7,46,G46,1000,9990,6649,6492.0,157.0,0.9763874266807039,97.63874266807039,5.081945896148682,97,128,1000,2.0,12500.0,linear,0.01,0
7,47,G47,1000,9990,6657,6522.0,135.0,0.9797205948625507,97.97205948625506,5.081185817718506,2,128,1000,2.0,12500.0,linear,0.01,0
8,48,G48,3000,6000,6000,5468.0,532.0,0.9113333333333333,91.13333333333333,8.409759998321533,115,128,1000,2.0,12500.0,linear,0.01,0
8,49,G49,3000,6000,6000,5514.0,486.0,0.919,91.9,13.097512006759644,76,128,1000,2.0,12500.0,linear,0.01,0
8,50,G50,3000,6000,5880,5494.0,386.0,0.9343537414965987,93.43537414965986,12.831797122955322,18,128,1000,2.0,12500.0,linear,0.01,0
9,51,G51,1000,5909,3848,3779.0,69.0,0.9820686070686071,98.20686070686071,4.854330062866211,34,128,1000,2.0,12500.0,linear,0.01,0
9,52,G52,1000,5916,3851,3779.0,72.0,0.981303557517528,98.1303557517528,5.070261240005493,1,128,1000,2.0,12500.0,linear,0.01,0
9,53,G53,1000,5914,3850,3778.0,72.0,0.9812987012987013,98.12987012987013,5.002832889556885,57,128,1000,2.0,12500.0,linear,0.01,0
9,54,G54,1000,5916,3852,3778.0,74.0,0.9807892004153687,98.07892004153686,4.496581792831421,112,128,1000,2.0,12500.0,linear,0.01,0
