instance,N,edges,best_known_cut,vanilla_fem_best_cut,gap,accuracy,percent_accuracy,runtime_sec,best_replica,R,N_steps,beta_min,beta_max,schedule_kind,lr,seed,batch
G14,800,4694,3064,3022.0,42.0,0.9862924281984334,98.62924281984334,4.293622016906738,62,128,1000,2.0,12500.0,linear,0.01,0,3
G15,800,4661,3050,2998.0,52.0,0.9829508196721312,98.29508196721312,4.4972710609436035,0,128,1000,2.0,12500.0,linear,0.01,0,3
G16,800,4672,3052,2995.0,57.0,0.9813237221494102,98.13237221494103,4.5252580642700195,66,128,1000,2.0,12500.0,linear,0.01,0,3
G17,800,4667,3047,2995.0,52.0,0.9829340334755498,98.29340334755497,4.386743783950806,26,128,1000,2.0,12500.0,linear,0.01,0,3
G18,800,4694,992,928.0,64.0,0.9354838709677419,93.54838709677419,4.460267066955566,44,128,1000,2.0,12500.0,linear,0.01,0,3
G19,800,4661,906,838.0,68.0,0.9249448123620309,92.49448123620309,4.415109157562256,25,128,1000,2.0,12500.0,linear,0.01,0,3
G20,800,4672,941,876.0,65.0,0.9309245483528161,93.09245483528161,4.561956882476807,47,128,1000,2.0,12500.0,linear,0.01,0,3
G21,800,4667,931,863.0,68.0,0.9269602577873255,92.69602577873255,4.410199880599976,124,128,1000,2.0,12500.0,linear,0.01,0,3
