instance,step,beta,gamma,loss_mean,free_energy_mean,expected_cut_mean,expected_cut_max,hard_cut_mean,hard_cut_max,best_cut_so_far,entropy_mean,driver_energy_mean,R_mean,R_min,R_max,rx_mean,rx_abs_mean,rz_mean,rz_abs_mean,grad_norm_raw_R,grad_norm_theta
G16,0,2.0,1.0,-2621.23876953125,-2621.23876953125,2336.0,2336.0,2313.96875,2387.0,2387.0,554.4776611328125,-7.999996185302734,0.010099474340677261,0.010056464932858944,0.010143181309103966,0.010099222883582115,0.010099222883582115,8.386828653783596e-08,6.96898132446222e-05,0.024626243859529495,2.4985427444335073e-05
G16,1,14.510510444641113,0.9989989995956421,-2382.283447265625,-2382.283447265625,2336.0,2336.0,2322.0625,2403.0,2403.0,554.4769287109375,-8.071290969848633,0.010199961252510548,0.010156523436307907,0.010244099423289299,0.010199946351349354,0.010199946351349354,8.015663865990064e-08,1.4902576367603615e-05,0.024950658902525902,0.0001783999614417553
G16,2,27.021020889282227,0.9979979991912842,-2364.6640625,-2364.6640625,2336.0,2336.0,2308.7265625,2384.0,2403.0,554.47607421875,-8.143621444702148,0.010301477275788784,0.010257611982524395,0.01034605037420988,0.010301372036337852,0.010301372036337852,-4.425085009529539e-08,4.5747652620775625e-05,0.025179721415042877,4.491888830671087e-05
G16,3,39.531532287597656,0.9969969987869263,-2358.24267578125,-2358.24267578125,2336.0,2336.0,2311.1328125,2397.0,2403.0,554.4752197265625,-8.216349601745605,0.010404047556221485,0.0103597491979599,0.010449059307575226,0.01040390133857727,0.01040390133857727,-1.1315937342715188e-07,5.33838574483525e-05,0.02540495991706848,0.00011676309804897755
G16,4,52.04204177856445,0.9959959983825684,-2354.9443359375,-2354.9443359375,2336.0,2336.0,2315.8515625,2417.0,2417.0,554.474365234375,-8.289794921875,0.01050769817084074,0.010462962090969086,0.010553152300417423,0.010507635772228241,0.010507635772228241,-8.645968563314455e-08,3.3902899303939193e-05,0.025630954653024673,0.0001374455023324117
G16,5,64.55255126953125,0.9949949979782104,-2352.95361328125,-2352.95361328125,2336.0,2336.0,2320.9453125,2397.0,2417.0,554.4735107421875,-8.364036560058594,0.01061245333403349,0.010567276738584042,0.010658356361091137,0.010612444952130318,0.010612444952130318,-1.7232620663776288e-08,1.0836002729774918e-05,0.025858750566840172,8.887991134542972e-05
G16,6,77.06306457519531,0.9939939975738525,-2351.63427734375,-2351.63427734375,2336.0,2336.0,2303.296875,2387.0,2417.0,554.47265625,-8.43896484375,0.01071834284812212,0.010672721080482006,0.01076470036059618,0.010718300007283688,0.010718300007283688,5.1297746495038155e-08,2.948814471892547e-05,0.0260882917791605,3.4821085137082264e-05
G16,7,89.57357025146484,0.9929929971694946,-2350.70458984375,-2350.70458984375,2336.0,2336.0,2307.1015625,2384.0,2417.0,554.4718017578125,-8.514557838439941,0.01082539651542902,0.010779323056340218,0.010872210375964642,0.010825314559042454,0.010825314559042454,8.215718594328791e-08,4.091259324923158e-05,0.026319637894630432,7.579790690215304e-05
G16,8,102.0840835571289,0.9919919967651367,-2350.0224609375,-2350.0224609375,2336.0,2336.0,2310.734375,2414.0,2417.0,554.4708251953125,-8.590900421142578,0.01093363482505083,0.010887106880545616,0.010980913415551186,0.010933573357760906,0.010933573357760906,6.64376500481012e-08,3.517771983752027e-05,0.026553113013505936,0.00010449341061757877
G16,9,114.59459686279297,0.9909909963607788,-2349.5068359375,-2349.5068359375,2336.0,2336.0,2334.71875,2434.0,2434.0,554.4698486328125,-8.668058395385742,0.011043095029890537,0.010996106080710888,0.011090842075645924,0.011043076403439045,0.011043076403439045,2.4051407976344308e-08,1.9379891455173492e-05,0.026788948103785515,9.143834176938981e-05
G16,10,127.1051025390625,0.9899899959564209,-2349.1083984375,-2349.1083984375,2336.0,2336.0,2266.859375,2348.0,2434.0,554.468994140625,-8.746028900146484,0.011153802275657654,0.011106347665190697,0.011202020570635796,0.011153793893754482,0.011153793893754482,-2.0071009743105606e-08,8.934033758123405e-06,0.027027156203985214,5.1552131481003016e-05
G16,11,139.61561584472656,0.988988995552063,-2348.79638671875,-2348.79638671875,2336.0,2336.0,2301.4296875,2378.0,2434.0,554.468017578125,-8.824784278869629,0.011265788227319717,0.01121786143630743,0.011314484290778637,0.01126575656235218,0.01126575656235218,-4.6358415772829176e-08,2.5665787688922137e-05,0.027267666533589363,3.330664549139328e-05
G16,12,152.12612915039062,0.9879879951477051,-2348.54931640625,-2348.54931640625,2336.0,2336.0,2307.4453125,2398.0,2434.0,554.4669189453125,-8.904346466064453,0.011379077099263668,0.011330673471093178,0.011428257450461388,0.011379029601812363,0.011379029601812363,-4.687382926249484e-08,3.157193714287132e-05,0.027510549873113632,6.507003854494542e-05
G16,13,164.6366424560547,0.9869869947433472,-2348.3525390625,-2348.3525390625,2336.0,2336.0,2348.6015625,2440.0,2440.0,554.4659423828125,-8.984763145446777,0.011493702419102192,0.0114448182284832,0.01154337264597416,0.011493667960166931,0.011493667960166931,-2.774065421817795e-08,2.6303547201678157e-05,0.02775595895946026,8.080347470240667e-05
G16,14,177.1471405029297,0.9859859943389893,-2348.19580078125,-2348.19580078125,2336.0,2336.0,2325.2109375,2407.0,2440.0,554.46484375,-9.066078186035156,0.011609699577093124,0.011560327373445034,0.011659866198897362,0.011609687469899654,0.011609687469899654,-3.5649259100267727e-09,1.543521648272872e-05,0.028004027903079987,6.931303505552933e-05
G16,15,189.65765380859375,0.9849849939346313,-2348.07177734375,-2348.07177734375,2336.0,2336.0,2265.078125,2361.0,2440.0,554.4638671875,-9.148295402526855,0.011727096512913704,0.011677232570946217,0.011777765117585659,0.011727090924978256,0.011727090924978256,1.3671678900095685e-08,8.404770596825983e-06,0.028254777193069458,4.0831600927049294e-05
G16,16,202.1681671142578,0.9839839935302734,-2347.97412109375,-2347.97412109375,2336.0,2336.0,2305.546875,2389.0,2440.0,554.4627685546875,-9.231416702270508,0.01184592954814434,0.01179556455463171,0.011897104792296886,0.011845909990370274,0.011845909990370274,1.981115893556762e-08,2.034895987890195e-05,0.028508203104138374,2.977593794639688e-05
G16,17,214.67868041992188,0.9829829931259155,-2347.8984375,-2347.8984375,2336.0,2336.0,2342.828125,2427.0,2440.0,554.4615478515625,-9.31546401977539,0.0119662219658494,0.011915352195501328,0.012017911300063133,0.011966194957494736,0.011966194957494736,1.665346083257191e-08,2.4503384338459e-05,0.028764378279447556,5.166741175344214e-05
G16,18,227.18919372558594,0.9819819927215576,-2347.8408203125,-2347.8408203125,2336.0,2336.0,2327.671875,2396.0,2440.0,554.46044921875,-9.400470733642578,0.012088017538189888,0.012036636471748352,0.012140224687755108,0.012087997980415821,0.012087997980415821,1.0550106566142858e-08,2.0978888642275706e-05,0.02902340143918991,6.330327596515417e-05
G16,19,239.69969177246094,0.9809809923171997,-2347.7998046875,-2347.7998046875,2336.0,2336.0,2327.5546875,2420.0,2440.0,554.459228515625,-9.48647689819336,0.01221134141087532,0.012159443460404873,0.012264076620340347,0.012211334891617298,0.012211334891617298,6.858347223470673e-09,1.2353783858998213e-05,0.02928539551794529,5.4744345106882975e-05
G16,20,252.210205078125,0.9799799919128418,-2347.77197265625,-2347.77197265625,2336.0,2336.0,2272.953125,2354.0,2440.0,554.4581298828125,-9.573492050170898,0.01233623456209898,0.01228381134569645,0.012389500625431538,0.012336230836808681,0.012336230836808681,5.171175487816981e-09,7.59499835112365e-06,0.02955038473010063,3.2852913136594e-05
G16,21,264.7207336425781,0.9789789915084839,-2347.755859375,-2347.755859375,2336.0,2336.0,2333.796875,2403.0,2440.0,554.456787109375,-9.661528587341309,0.012462723068892956,0.012409769929945469,0.012516528367996216,0.012462710961699486,0.012462710961699486,2.1936727989668725e-09,1.6790714653325267e-05,0.02981841191649437,2.541651701903902e-05
G16,22,277.2312316894531,0.977977991104126,-2347.75048828125,-2347.75048828125,2336.0,2336.0,2324.6484375,2422.0,2440.0,554.45556640625,-9.750605583190918,0.012590846978127956,0.012537355534732342,0.012645198032259941,0.012590830214321613,0.012590830214321613,-4.687501498068514e-09,1.9859513486153446e-05,0.030089525505900383,4.283918678993359e-05
G16,23,289.7417297363281,0.9769769906997681,-2347.75439453125,-2347.75439453125,2336.0,2336.0,2319.421875,2405.0,2440.0,554.454345703125,-9.840761184692383,0.01272063609212637,0.01266660075634718,0.012775540351867676,0.012720624916255474,0.012720624916255474,-1.4469421216745104e-08,1.606583100510761e-05,0.030363842844963074,5.091702041681856e-05
G16,24,302.25225830078125,0.9759759902954102,-2347.7666015625,-2347.7666015625,2336.0,2336.0,2319.84375,2404.0,2440.0,554.4530029296875,-9.93202018737793,0.012852133251726627,0.01279754750430584,0.012907599098980427,0.012852129526436329,0.012852129526436329,-2.1556244789167067e-08,8.612321835244074e-06,0.03064143843948841,4.1883682570187375e-05
G16,25,314.76275634765625,0.9749749898910522,-2347.785888671875,-2347.785888671875,2336.0,2336.0,2323.203125,2414.0,2440.0,554.45166015625,-10.024404525756836,0.012985370121896267,0.01293022371828556,0.013041402213275433,0.012985365465283394,0.012985365465283394,-1.9238234116869535e-08,8.390252332901582e-06,0.03092237375676632,2.3651895389775746e-05
G16,26,327.2732849121094,0.9739739894866943,-2347.81201171875,-2347.81201171875,2336.0,2336.0,2316.1015625,2401.0,2440.0,554.4503173828125,-10.117927551269531,0.013120383024215698,0.013064670376479626,0.013176989741623402,0.013120374642312527,0.013120374642312527,-5.422398086096791e-09,1.5067801541590597e-05,0.031206687912344933,2.4131493773893453e-05
G16,27,339.7837829589844,0.9729729890823364,-2347.844482421875,-2347.844482421875,2336.0,2336.0,2306.796875,2404.0,2440.0,554.4488525390625,-10.212615013122559,0.013257211074233055,0.013200925663113594,0.013314398936927319,0.013257200829684734,0.013257200829684734,1.4475872056607386e-08,1.563504702062346e-05,0.03149445727467537,3.806985841947608e-05
G16,28,352.2942810058594,0.9719719886779785,-2347.88232421875,-2347.88232421875,2336.0,2336.0,2309.375,2402.0,2440.0,554.4473876953125,-10.308502197265625,0.013395885936915874,0.013339023105800152,0.013453667052090168,0.013395881280303001,0.013395881280303001,2.964760703605407e-08,1.0965575711452402e-05,0.031785786151885986,4.03484191338066e-05
G16,29,364.8048095703125,0.9709709882736206,-2347.92529296875,-2347.92529296875,2336.0,2336.0,2319.2734375,2405.0,2440.0,554.4459228515625,-10.405611038208008,0.013536453247070312,0.013478999026119709,0.01359483040869236,0.013536450453102589,0.013536450453102589,2.9999153383641897e-08,5.734467777074315e-06,0.03208073228597641,2.9056645871605724e-05
G16,30,377.3153076171875,0.9699699878692627,-2347.9736328125,-2347.9736328125,2336.0,2336.0,2300.609375,2392.0,2440.0,554.4444580078125,-10.503961563110352,0.013678942807018757,0.0136208925396204,0.013737926259636879,0.013678939081728458,0.013678939081728458,1.316308928522858e-08,9.933512046700343e-06,0.03237936273217201,1.7297297745244578e-05
G16,31,389.8258361816406,0.9689689874649048,-2348.02587890625,-2348.02587890625,2336.0,2336.0,2288.265625,2373.0,2440.0,554.44287109375,-10.6035737991333,0.013823399320244789,0.013764744624495506,0.013882995583117008,0.013823391869664192,0.013823391869664192,-1.2594107090535545e-08,1.3111201042192988e-05,0.03268173336982727,2.5643272238085046e-05
G16,32,402.3363342285156,0.9679679870605469,-2348.08251953125,-2348.08251953125,2336.0,2336.0,2306.390625,2392.0,2440.0,554.4412841796875,-10.70448112487793,0.013969860039651394,0.013910598121583462,0.01403007935732603,0.013969853520393372,0.013969853520393372,-3.255985348005197e-08,1.1195321349077858e-05,0.03298793360590935,3.3492662623757496e-05
G16,33,414.8468322753906,0.966966986656189,-2348.14306640625,-2348.14306640625,2336.0,2336.0,2325.859375,2398.0,2440.0,554.439697265625,-10.806710243225098,0.01411836501210928,0.014058482833206654,0.014179215766489506,0.01411836314946413,0.01411836314946413,-3.445373053523326e-08,6.518293503177119e-06,0.03329804912209511,2.9336015359149314e-05
G16,34,427.35736083984375,0.965965986251831,-2348.20751953125,-2348.20751953125,2336.0,2336.0,2264.6953125,2373.0,2440.0,554.43798828125,-10.910287857055664,0.014268957078456879,0.014208445325493813,0.014330446720123291,0.014268956147134304,0.014268956147134304,-1.618904121869491e-08,6.16163242739276e-06,0.03361215442419052,1.7701055185170844e-05
G16,35,439.86785888671875,0.9649649858474731,-2348.27587890625,-2348.27587890625,2336.0,2336.0,2286.1328125,2399.0,2440.0,554.436279296875,-11.01523494720459,0.01442167442291975,0.014360526576638222,0.014483814127743244,0.014421669766306877,0.014421669766306877,1.1940189281745006e-08,1.0413932614028454e-05,0.03393030911684036,1.7745833247317933e-05
G16,36,452.3783874511719,0.9639639854431152,-2348.34716796875,-2348.34716796875,2336.0,2336.0,2309.7421875,2392.0,2440.0,554.4345703125,-11.121578216552734,0.014576558955013752,0.014514761976897717,0.01463935524225235,0.014576554298400879,0.014576554298400879,3.320594998967863e-08,1.0123622814717237e-05,0.0342525877058506,2.6388594051240943e-05
G16,37,464.8888854980469,0.9629629850387573,-2348.421875,-2348.421875,2336.0,2336.0,2336.8671875,2423.0,2440.0,554.4327392578125,-11.229345321655273,0.014733652584254742,0.014671199955046177,0.01479711476713419,0.014733651652932167,0.014733651652932167,3.465671483127153e-08,6.541319180541905e-06,0.0345790758728981,2.632079485920258e-05
G16,38,477.3993835449219,0.9619619846343994,-2348.5,-2348.5,2336.0,2336.0,2199.6953125,2303.0,2440.0,554.430908203125,-11.338570594787598,0.014892997220158577,0.014829885214567184,0.014957134611904621,0.014892996288836002,0.014892996288836002,1.5089035798609984e-08,4.399955287226476e-06,0.034909870475530624,1.7474887499702163e-05
G16,39,489.909912109375,0.9609609842300415,-2348.5810546875,-2348.5810546875,2336.0,2336.0,2292.671875,2384.0,2440.0,554.428955078125,-11.449271202087402,0.015054638497531414,0.014990851283073425,0.015119463205337524,0.01505463570356369,0.01505463570356369,-1.3781382257604946e-08,8.322402209159918e-06,0.03524501621723175,1.3885653970646672e-05
G16,40,502.42041015625,0.9599599838256836,-2348.6650390625,-2348.6650390625,2336.0,2336.0,2322.828125,2396.0,2440.0,554.427001953125,-11.561478614807129,0.015218621119856834,0.015154151245951653,0.015284139662981033,0.01521861832588911,0.01521861832588911,-3.409031279488772e-08,8.636062375444453e-06,0.03558460995554924,2.106153806380462e-05
G16,41,514.930908203125,0.9589589834213257,-2348.751953125,-2348.751953125,2336.0,2336.0,2346.703125,2441.0,2441.0,554.425048828125,-11.675226211547852,0.015384991653263569,0.015319827012717724,0.015451210550963879,0.015384990721940994,0.015384990721940994,-3.2735979260678505e-08,5.907370905333664e-06,0.03592873737215996,2.241601760033518e-05
