instance,step,beta,gamma,loss_mean,free_energy_mean,expected_cut_mean,expected_cut_max,hard_cut_mean,hard_cut_max,best_cut_so_far,entropy_mean,driver_energy_mean,R_mean,R_min,R_max,rx_mean,rx_abs_mean,rz_mean,rz_abs_mean,grad_norm_raw_R,grad_norm_theta
G39,0,2.0,1.0,-727.09716796875,-727.09716796875,14.0,14.0,-21.4921875,86.0,86.0,1386.1943359375,-20.000038146972656,0.010099499486386776,0.010054475627839565,0.010143536143004894,0.010099247097969055,0.010099247097969055,-1.5199130132259597e-07,6.969994137762114e-05,0.038937605917453766,3.9575021219206974e-05
G39,1,14.510510444641113,0.9989989995956421,-129.70849609375,-129.70849609375,14.0,14.0,-10.6953125,132.0,132.0,1386.1923828125,-20.178274154663086,0.010199987329542637,0.010154515504837036,0.010244457051157951,0.010199971497058868,0.010199971497058868,-1.4963948302693098e-08,1.4921020010660868e-05,0.03945055231451988,0.00028204420232214034
G39,2,27.021020889282227,0.9979979991912842,-85.65953826904297,-85.65953826904297,14.0,14.0,-32.21875,87.0,132.0,1386.190185546875,-20.359102249145508,0.010301503352820873,0.010255583561956882,0.010346410796046257,0.010301397182047367,0.010301397182047367,9.505299658485455e-08,4.573237310978584e-05,0.039812732487916946,7.10314343450591e-05
G39,3,39.531532287597656,0.9969969987869263,-69.6063003540039,-69.6063003540039,14.0,14.0,-28.3828125,160.0,160.0,1386.188232421875,-20.540924072265625,0.010404073633253574,0.010357700288295746,0.010449424386024475,0.01040392741560936,0.01040392741560936,1.1193206717052817e-07,5.3377923904918134e-05,0.04016886651515961,0.00018450652714818716
G39,4,52.04204177856445,0.9959959983825684,-61.36042785644531,-61.36042785644531,14.0,14.0,-26.9921875,118.0,160.0,1386.18603515625,-20.724538803100586,0.010507723316550255,0.010460893623530865,0.010553520172834396,0.010507662780582905,0.010507662780582905,8.14929492776173e-08,3.3916945540113375e-05,0.040526192635297775,0.00021726678824052215
G39,5,64.55255126953125,0.9949949979782104,-56.38386535644531,-56.38386535644531,14.0,14.0,-14.1640625,96.0,160.0,1386.183837890625,-20.91014289855957,0.010612478479743004,0.010565187782049179,0.010658727958798409,0.010612470097839832,0.010612470097839832,1.9039076093463336e-08,1.0848026249732357e-05,0.040886372327804565,0.00014056080544833094
G39,6,77.06306457519531,0.9939939975738525,-53.08509063720703,-53.08509063720703,14.0,14.0,-46.7109375,129.0,160.0,1386.181640625,-21.097463607788086,0.010718369856476784,0.010670612566173077,0.01076507568359375,0.010718327015638351,0.010718327015638351,-4.759396787790138e-08,2.9470198569470085e-05,0.04124930873513222,5.507815149030648e-05
G39,7,89.57357025146484,0.9929929971694946,-50.76176452636719,-50.76176452636719,14.0,14.0,-41.0,128.0,160.0,1386.179443359375,-21.28644561767578,0.010825423523783684,0.010777193121612072,0.010872590355575085,0.010825341567397118,0.010825341567397118,-9.125025002276743e-08,4.0892857214203104e-05,0.04161510616540909,0.00011973633809247985
G39,8,102.0840835571289,0.9919919967651367,-49.05607986450195,-49.05607986450195,14.0,14.0,-35.4296875,118.0,160.0,1386.177001953125,-21.477304458618164,0.01093366276472807,0.010884955525398254,0.010981297120451927,0.01093360036611557,0.01093360036611557,-9.56641201810271e-08,3.519393067108467e-05,0.041984256356954575,0.00016514894377905875
G39,9,114.59459686279297,0.9909909963607788,-47.766536712646484,-47.766536712646484,14.0,14.0,18.5859375,161.0,161.0,1386.1748046875,-21.670198440551758,0.01104312390089035,0.01099393516778946,0.011091228574514389,0.011043103411793709,0.011043103411793709,-6.24474409960385e-08,1.9402183170313947e-05,0.04235714673995972,0.00014459218073170632
