method,trial,seed,energy,cut,gap,relative_error,ground_hit,target_hit,best_replica,runtime_sec
qefem,0,966741144,-1892.0,,8.0,0.004210526315789474,False,,1989,160.7764695000078
lqa,0,966741144,-1878.0,,22.0,0.011578947368421053,False,,0,0.12006679200567305
qefem,1,2135314302,-1892.0,,8.0,0.004210526315789474,False,,794,160.18992649999564
lqa,1,2135314302,-1872.0,,28.0,0.014736842105263158,False,,0,0.11879329098155722
qefem,2,3077410600,-1892.0,,8.0,0.004210526315789474,False,,920,164.7403671249922
lqa,2,3077410600,-1876.0,,24.0,0.01263157894736842,False,,0,0.14450408300035633
qefem,3,882966602,-1892.0,,8.0,0.004210526315789474,False,,368,164.8013398340263
lqa,3,882966602,-1872.0,,28.0,0.014736842105263158,False,,0,0.11694095801794901
qefem,4,529374535,-1894.0,,6.0,0.003157894736842105,False,,1837,163.5040143749793
lqa,4,529374535,-1868.0,,32.0,0.016842105263157894,False,,0,0.1209591249935329
qefem,5,2629209112,-1894.0,,6.0,0.003157894736842105,False,,4576,163.64049441702082
lqa,5,2629209112,-1880.0,,20.0,0.010526315789473684,False,,0,0.11944529198808596
qefem,6,4118853785,-1892.0,,8.0,0.004210526315789474,False,,4152,162.73292358397157
lqa,6,4118853785,-1874.0,,26.0,0.01368421052631579,False,,0,0.11939716601045802
qefem,7,2888883985,-1894.0,,6.0,0.003157894736842105,False,,2156,161.82363149998127
lqa,7,2888883985,-1888.0,,12.0,0.00631578947368421,False,,0,0.11975912502384745
qefem,8,1996088876,-1892.0,,8.0,0.004210526315789474,False,,563,162.28662870798144
lqa,8,1996088876,-1868.0,,32.0,0.016842105263157894,False,,0,0.120728624984622
qefem,9,3350193853,-1892.0,,8.0,0.004210526315789474,False,,1060,179.9176381250145
lqa,9,3350193853,-1872.0,,28.0,0.014736842105263158,False,,0,0.12371904199244455
