method,trial,seed,energy,cut,gap,relative_error,ground_hit,target_hit,best_replica,runtime_sec
qefem,0,2843577859,-202.86047365930486,,21.789227004724154,0.09699201441318926,False,,5695,85.30263429199113
lqa,0,2843577859,-199.5752478097033,,25.0744528543257,0.11161578573311952,False,,0,0.10754804199677892
qefem,1,1022078406,-224.64970066402907,,-5.684341886080802e-14,2.5303135812239167e-16,True,,5808,85.87634170800447
lqa,1,1022078406,-199.24233464005925,,25.407366023969757,0.11309770700281192,False,,0,0.10267233400372788
qefem,2,581760512,-202.87258917308444,,21.777111490944577,0.09693808372134428,False,,288,92.60762866699952
lqa,2,581760512,-201.46253079513912,,23.187169868889896,0.10321478194875082,False,,0,0.10443687500082888
qefem,3,1186005868,-202.78780033785046,,21.861900326178556,0.09731551059965018,False,,8148,94.17454141698545
lqa,3,1186005868,-199.25061205100639,,25.399088613022627,0.11306086114491555,False,,0,0.2271783339965623
qefem,4,153693754,-224.64970066402907,,-5.684341886080802e-14,2.5303135812239167e-16,True,,4815,82.20630570800859
lqa,4,153693754,-201.0564924424724,,23.59320822155661,0.10502221081006925,False,,0,0.10630079201655462
