gset# nodes# cut_value best_value gap %_accuracy tts_seconds
G1 800 11446 11624 178 98.4687 4.3683
G2 800 11435 11620 185 98.4079 4.2997
G3 800 11443 11622 179 98.4598 4.3563
G4 800 11503 11646 143 98.7721 4.275
G5 800 11450 11631 181 98.4438 4.1619
G6 800 1978 2178 200 90.8173 4.394
G7 800 1822 2006 184 90.8275 4.3333
G8 800 1856 2005 149 92.5686 4.4111
G9 800 1840 2054 214 89.5813 4.5235
G10 800 1819 2000 181 90.95 4.26
